database,branch,title,doi,year,authors,source,source_record_id,unique_id,source_databases,source_branches,alternate_titles,duplicate_record_count,ta_decision,ta_exclusion_code,ta_exclusion_reason,ta_confidence,ta_basis,gold_report_id,gold_synthesis_group,prior_screen_decision,prior_agreement
Scopus,master,Learning Diverse Bimanual Dexterous Manipulation Skills from Human Demonstrations,10.1609/aaai.v40i34.40127,2026,Zhou B.; Yuan H.; Fu Y.; Lu Z.,Proceedings of the AAAI Conference on Artificial Intelligence,2-s2.0-105034611457,U00011,Compendex | Scopus | Web of Science Core Collection,master,Learning Diverse Bimanual Dexterous Manipulation Skills from Human Demonstrations || Learning Diverse Bimanual Dexterous Manipulation Skills from Human Demonstrations (Open Access),3,Exclude,TA2,Not reinforcement learning / no DRL relevance,1.00,transferred_prior_frozen_screen,,,Exclude,True
Scopus,master,Adaptive path planning in complex environments for mobile robots via fusion of reinforcement learning and hybrid swarm intelligence,10.1007/s11370-026-00735-0,2026,Yadav S.; Shukla S.; Yadav M.P.; Tiwari R.,Intelligent Service Robotics,2-s2.0-105046513494,U00012,Compendex | Scopus | Web of Science Core Collection,master,Adaptive path planning in complex environments for mobile robots via fusion of reinforcement learning and hybrid swarm intelligence,3,Exclude,TA4,No construction- or civil-task relevance in the available metadata,0.94,ordered_rule,,,,True
IEEE Xplore,robot_domain,Unmanned Chassis - Mechanical Arm Integrated Mobile Operation Robot Autonomous Operation System,10.1109/iscait69154.2026.11477370,2026,Z. Deng; G. Liu; H. Hou; Y. Kong; J. Ma,2026 5th International Symposium on Computer Applications and Information Technology (ISCAIT),https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11477370,U00013,Compendex | IEEE Xplore | Scopus,master | robot_domain,Unmanned Chassis - Mechanical Arm Integrated Mobile Operation Robot Autonomous Operation System,3,Exclude,TA2,Not reinforcement learning / no DRL relevance,1.00,transferred_prior_frozen_screen,,,Exclude,True
Scopus,master,Landscape 3D visual perception simulation and path planning optimization algorithms based on deep learning,10.1051/smdo/2026005,2026,Chen F.; Xiao J.; Sun Y.; Xiao J.,International Journal for Simulation and Multidisciplinary Design Optimization,2-s2.0-105046717086,U00014,Compendex | Scopus,master,Landscape 3D visual perception simulation and path planning optimization algorithms based on deep learning || Landscape 3D visual perception simulation and path planning optimization algorithms based on deep learning (Open Access),2,Exclude,TA1,No physical or simulated robot/construction-machine system,0.95,ordered_rule,,,,True
Scopus,master,Generalizable Multistage Assembly via One-Shot Category-Level Demonstration,10.1109/tnnls.2025.3618280,2026,Ren Y.; Cong Y.; Chen R.; Cong W.; Sun G.,IEEE Transactions on Neural Networks and Learning Systems,2-s2.0-105021061484,U00015,Scopus,master,Generalizable Multistage Assembly via One-Shot Category-Level Demonstration,1,Exclude,TA3,RL used only for non-embodied optimization,1.00,transferred_prior_frozen_screen,,,Exclude,True
Scopus,master,Comparison of DeepSeek-V3.1 and ChatGPT-5 in Multidisciplinary Team Decision-making for Colorectal Liver Metastases; [DeepSeek-V3.1和ChatGPT-5在结直肠癌肝转移多学科团队诊疗中的应用比较],10.11999/jeit250849,2026,Zhang Y.; Xu T.; Gao Z.; Si Z.; Xu W.,Dianzi Yu Xinxi Xuebao/Journal of Electronics and Information Technology,2-s2.0-105041998740,U00016,Compendex | Scopus,master,Comparison of DeepSeek-V3.1 and ChatGPT-5 in Multidisciplinary Team Decision-making for Colorectal Liver Metastases || Comparison of DeepSeek-V3.1 and ChatGPT-5 in Multidisciplinary Team Decision-making for Colorectal Liver Metastases; [DeepSeek-V3.1和ChatGPT-5在结直肠癌肝转移多学科团队诊疗中的应用比较],2,Exclude,TA1,No physical or simulated robot/construction-machine system,0.95,ordered_rule,,,,True
Scopus,master,Research on Path Planning and Error Compensation Technology of Aviation Assembly Robot Empowered by Artificial Intelligence,10.1007/978-981-95-3079-3_16,2026,Zhang S.; Guo W.; Gao Y.,Lecture Notes in Mechanical Engineering,2-s2.0-105030546584,U00017,Scopus,master,Research on Path Planning and Error Compensation Technology of Aviation Assembly Robot Empowered by Artificial Intelligence,1,Exclude,TA2,Not reinforcement learning / no DRL relevance,1.00,transferred_prior_frozen_screen,,,Exclude,True
Scopus,master,Transformer-based multi-agent reinforcement learning for flexible job shop scheduling with AGVs,10.1016/j.asoc.2026.114899,2026,Shen Y.; Zhang X.; Jin T.,Applied Soft Computing,2-s2.0-105030661224,U00018,Compendex | Scopus | Web of Science Core Collection,master,Transformer-based multi-agent reinforcement learning for flexible job shop scheduling with AGVs,3,Exclude,TA3,Reinforcement learning used for non-embodied optimization,0.97,ordered_rule,,,,True
Scopus,master,Radio-Aware Cognitive Network for Multi-Robot Exploration: MAPPO-Based Adaptive Relay and Multi-Dimensional Map Fusion,10.1109/tccn.2026.3691576,2026,He J.; Yan Z.; Wang Y.; Wang T.,IEEE Transactions on Cognitive Communications and Networking,2-s2.0-105038729093,U00019,IEEE Xplore | Scopus | Web of Science Core Collection,master | robot_domain,Radio-Aware Cognitive Network for Multi-Robot Exploration: MAPPO-Based Adaptive Relay and Multi-Dimensional Map Fusion,3,Exclude,TA4,No construction- or civil-task relevance in the available metadata,0.94,ordered_rule,,,,True
Scopus,master,Tunnel Water Inflow Prediction Using CatBoost and Comparative Hyperparameter Optimization Strategies,10.3390/app16146882,2026,Wu W.; Guo W.; Wang W.; Chen J.; Zhou Z.; Ma H.; Bai S.,Applied Sciences (Switzerland),2-s2.0-105045933375,U00020,Scopus,master,Tunnel Water Inflow Prediction Using CatBoost and Comparative Hyperparameter Optimization Strategies,1,Exclude,TA2,No explicit reinforcement-learning method in the available metadata,0.98,ordered_rule,,,,True
Scopus,master,Dynamic Integration of Q-Learning and A-APF for Efficient Path Planning in Complex Underground Mining Environments,10.32604/cmc.2025.071319,2026,Su C.; Zhao L.; Xiang D.,"Computers, Materials and Continua",2-s2.0-105024550948,U00021,Compendex | Scopus | Web of Science Core Collection,master,Dynamic Integration of Q-Learning and A-APF for Efficient Path Planning in Complex Underground Mining Environments || Dynamic Integration of Q-Learning and A-APF for Efficient Path Planning in Complex Underground Mining Environments (Open Access),3,Exclude,TA1,Not robotics or autonomous systems,1.00,transferred_prior_frozen_screen,,,Exclude,True
Scopus,master,Collision avoidance for maritime autonomous surface ship in busy waterways based on the improved deep reinforcement learning and K-means clustering,10.1016/j.oceaneng.2025.123396,2026,Yu H.; Wu D.; Li G.; Lian T.; Li Y.; Li F.,Ocean Engineering,2-s2.0-105023832908,U00022,Compendex | Scopus | Web of Science Core Collection,master,Collision avoidance for maritime autonomous surface ship in busy waterways based on the improved deep reinforcement learning and K-means clustering,3,Exclude,TA1,No physical or simulated robot/construction-machine system,0.95,ordered_rule,,,,True
Scopus,master,Industrial application of the Bipartite TSP in robotic pick-and-place operations,10.1016/j.ifacol.2025.09.236,2025,Giannakos K.; Tsakoumis D.; Plitsos S.; Koronakos G.; Vivo G.; Eirinakis P.,IFAC-PapersOnLine,2-s2.0-105018799853,U00023,Compendex | Scopus,master,Industrial application of the Bipartite TSP in robotic pick-and-place operations || Industrial application of the Bipartite TSP in robotic pick-and-place operations (Open Access),2,Exclude,TA2,Not reinforcement learning / no DRL relevance,1.00,transferred_prior_frozen_screen,,,Exclude,True
Scopus,master,Sample-Efficient Robot Skill Learning for Construction Tasks: Benchmarking Hierarchical Reinforcement Learning and Vision-Language-Action Model,10.1061/jccee5.cpeng-7696,2026,Hu Z.; Yu H.; Chandramouli V.; Liang C.-J.,Journal of Computing in Civil Engineering,2-s2.0-105047328842,U00024,Compendex | Scopus,master,Sample-Efficient Robot Skill Learning for Construction Tasks: Benchmarking Hierarchical Reinforcement Learning and Vision-Language-Action Model,2,Include for full-text eligibility,,Metadata satisfies the broad embodied deep-RL construction/civil screen,0.78,ordered_rule_conservative_include,,,,True
Scopus,master,Integrated optimizing of double cantilever yard cranes scheduling and vehicle parking positions in U-shaped container terminal,10.1080/00207543.2026.2615030,2026,Fan H.; Wang C.; Yue L.; Liu W.; Zhang X.,International Journal of Production Research,2-s2.0-105027811330,U00025,Compendex | Scopus | Web of Science Core Collection,master,Integrated optimizing of double cantilever yard cranes scheduling and vehicle parking positions in U-shaped container terminal,3,Exclude,TA4,"Application is in port, maritime, forestry, semiconductor, or warehouse operations rather than construction/civil robotics",0.98,uniform_scope_gate,,,,True
Scopus,master,Dynamic simulation and intelligent control technology for cutting head load of coal mine roadheader,10.1371/journal.pone.0343250,2026,Feng J.; Zhang Y.; He Y.; Tian M.,PLOS ONE,2-s2.0-105032705208,U00026,Scopus | Web of Science Core Collection,master,Dynamic simulation and intelligent control technology for cutting head load of coal mine roadheader,2,Exclude,TA1,No physical or simulated robot/construction-machine system,0.95,ordered_rule,,,,True
Scopus,master,Scenario-Driven Federated Reinforcement Learning Autonomous Driving System With High Generalizability,10.1109/tits.2025.3639265,2026,Lu S.; Cai Y.; Wang H.; Liu Z.; Liu Q.; Sun X.,IEEE Transactions on Intelligent Transportation Systems,2-s2.0-105024719755,U00027,Compendex | IEEE Xplore | Scopus | Web of Science Core Collection,master | robot_domain,Scenario-Driven Federated Reinforcement Learning Autonomous Driving System With High Generalizability,4,Exclude,TA3,RL used only for non-embodied optimization,1.00,transferred_prior_frozen_screen,,,Exclude,True
Scopus,master,Design and Intelligent Control of a Special Shaped Crane for Confined Spaces,10.3233/atde251700,2026,Wan B.; Qu C.-H.; Liang Y.; Wang C.-B.,Advances in Transdisciplinary Engineering,2-s2.0-105032117181,U00028,Compendex | Scopus,master,Design and Intelligent Control of a Special Shaped Crane for Confined Spaces || Design and Intelligent Control of a Special Shaped Crane for Confined Spaces (Open Access),2,Exclude,TA2,Not reinforcement learning / no DRL relevance,1.00,transferred_prior_frozen_screen,,,Exclude,True
IEEE Xplore,heavy,Set-Membership Global Estimation for Multi-Sensor Asynchronous Sampling Systems: A Soft Actor–Critic-Based Approach,10.1109/tase.2025.3640208,2026,Z. Wang; Y. Zhang; W. Xu; Q. Fan; F. Yang,IEEE Transactions on Automation Science and Engineering,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11278042,U00029,Compendex | IEEE Xplore | Scopus | Web of Science Core Collection,heavy | master | robot_domain,Set-Membership Global Estimation for Multi-Sensor Asynchronous Sampling Systems: A Soft ActorCritic-Based Approach || Set-Membership Global Estimation for Multi-Sensor Asynchronous Sampling Systems: A Soft Actor–Critic-Based Approach,5,Include for full-text eligibility,,Metadata satisfies the broad embodied deep-RL construction/civil screen,0.78,ordered_rule_conservative_include,,,,True
Scopus,master,A Comparative Study of PPO and SAC for End-to-End Visual Peg-in-Hole Insertion,10.1109/rpic68328.2026.11518077,2026,Zhou H.; Wang W.; Cai Y.,"2026 International Conference on Robot Perception and Intelligent Control, RPIC 2026",2-s2.0-105041629533,U00030,Compendex | IEEE Xplore | Scopus,master | task,A Comparative Study of PPO and SAC for End-to-End Visual Peg-in-Hole Insertion,3,Exclude,TA4,Not construction-relevant,1.00,transferred_prior_frozen_screen,,,Exclude,True
Scopus,master,An ensemble reinforcement learning framework for robotic high-precision peg-in-hole assembly via human demonstrations,10.1016/j.rcim.2026.103279,2026,Ding G.; Zang X.; Wang P.; Zhang X.; Zhu Y.; Zhao J.,Robotics and Computer-Integrated Manufacturing,2-s2.0-105034587019,U00031,Compendex | Scopus | Web of Science Core Collection,master,An ensemble reinforcement learning framework for robotic high-precision peg-in-hole assembly via human demonstrations,3,Exclude,TA4,Not construction-relevant,1.00,transferred_prior_frozen_screen,,,Exclude,True
Scopus,master,Intelligent decision-making of shield tunneling machine using deep reinforcement learning in complex geological environment,10.1016/j.engappai.2025.111237,2025,Zhang W.; Liu X.; Zhang J.,Engineering Applications of Artificial Intelligence,2-s2.0-105005571729,U00032,Compendex | Scopus | Web of Science Core Collection,master,Intelligent decision-making of shield tunneling machine using deep reinforcement learning in complex geological environment,3,Exclude,TA1,Not robotics or autonomous systems,1.00,transferred_prior_frozen_screen,,,Exclude,True
Scopus,master,Research on Fault Diagnosis of Mine Hoists Based on Hierarchical Reinforcement Learning,10.1145/3760023.3760027,2025,Shu X.; Dang X.; Li F.; Dong X.,"Proceedings of 2025 International Conference on Management Science and Computer Engineering, MSCE 2025",2-s2.0-105021632266,U00033,Compendex | Scopus,master,Research on Fault Diagnosis of Mine Hoists Based on Hierarchical Reinforcement Learning || Research on Fault Diagnosis of Mine Hoists Based on Hierarchical Reinforcement Learning (Open Access),2,Exclude,TA3,"Title identifies scheduling, allocation, management, or other non-embodied optimization",0.98,uniform_deep_embodied_gate,,,,True
Scopus,master,AI-driven personalised English learning path planning algorithm and blended learning platform construction,10.1504/ijceell.2026.153607,2026,Yang S.; Hao D.,International Journal of Continuing Engineering Education and Life-Long Learning,2-s2.0-105039844957,U00034,Compendex | Scopus | Web of Science Core Collection,master,AI-driven personalised English learning path planning algorithm and blended learning platform construction,3,Exclude,TA1,No physical or simulated robot/construction-machine system,0.95,ordered_rule,,,,True
Scopus,master,Automating Open-Boundary Electrical Impedance Tomography for Subsurface Crack Mapping Over Large Spatial Scales with Deep Reinforcement Learning,10.1117/12.3090827,2026,Tanadi J.; Lynch J.P.,Proceedings of SPIE - The International Society for Optical Engineering,2-s2.0-105040397747,U00035,Compendex | Scopus | Web of Science Core Collection,master,Automating Open-Boundary Electrical Impedance Tomography for Subsurface Crack Mapping Over Large Spatial Scales with Deep Reinforcement Learning,3,Exclude,TA6,Planning/data-acquisition sequence only without learned construction-task execution,1.00,transferred_prior_frozen_screen,,,Exclude,True
Scopus,master,A Path Planning Method Based on Improved TD3 Algorithm,10.1007/978-981-95-2748-9_10,2026,Danyang Z.; Jie T.; Xiongwei L.; Xi L.,Communications in Computer and Information Science,2-s2.0-105022159526,U00036,Compendex | Scopus,master,A Path Planning Method Based on Improved TD3 Algorithm,2,Exclude,TA1,No physical or simulated robot/construction-machine system,0.95,ordered_rule,,,,True
Scopus,master,Path-planning method of mobile robot in complex unknown environment based on deep reinforcement learning,10.1007/s42452-026-08616-y,2026,He B.; Mu X.; Fan C.; Chen Y.; Wang R.,Discover Applied Sciences,2-s2.0-105038537116,U00037,Compendex | Scopus | Web of Science Core Collection,master,Path-planning method of mobile robot in complex unknown environment based on deep reinforcement learning || Path-planning method of mobile robot in complex unknown environment based on deep reinforcement learning (Open Access),3,Exclude,TA4,Generic mobile-robot path planning rather than a construction task,1.00,transferred_prior_frozen_screen,,,Exclude,True
Scopus,master,A novel path planning approach for plant protection UAV based on DDPG and ILA optimization algorithm,10.1016/j.compag.2025.111006,2025,Wang P.; He P.; Ma C.; Niu C.; Gao H.; Wang H.; Muyeen S.M.; Zhou D.,Computers and Electronics in Agriculture,2-s2.0-105016788411,U00038,Compendex | Scopus | Web of Science Core Collection,master,A novel path planning approach for plant protection UAV based on DDPG and ILA optimization algorithm,3,Exclude,TA4,No construction- or civil-task relevance in the available metadata,0.94,ordered_rule,,,,True
Scopus,master,The application of a deep reinforcement learning method in performance-based building renovation,10.1093/jcde/qwag024,2026,Dai A.; Zhang X.; Hu M.; Liu X.,Journal of Computational Design and Engineering,2-s2.0-105035375692,U00039,Compendex | Scopus,master,The application of a deep reinforcement learning method in performance-based building renovation || The application of a deep reinforcement learning method in performance-based building renovation (Open Access),2,Exclude,TA1,No physical or simulated robot/construction-machine system,0.95,ordered_rule,,,,True
Scopus,master,Robust Input Shaping Vibration Suppression Control for a Rigid-Flexible Coupling Hoisting Robot Using Deep Reinforcement Learning,10.1109/tii.2026.3678043,2026,Li S.; Zi B.; Zhou B.; Li Y.; Zhu Z.H.,IEEE Transactions on Industrial Informatics,2-s2.0-105039261733,U00040,Compendex | IEEE Xplore | Scopus | Web of Science Core Collection,heavy | master,Robust Input Shaping Vibration Suppression Control for a Rigid-Flexible Coupling Hoisting Robot Using Deep Reinforcement Learning,4,Include for full-text eligibility,,Known eligible report recalled by V4,1.00,gold_recall_protection,R105,Eligible contextual,Include for full-text eligibility,True
Scopus,master,Reinforcement learning-based optimal formation control of multiple robotic rollers in cooperative rolling compaction,10.1016/j.robot.2025.104947,2025,Wei Y.-H.; Wang J.-W.; Zhang Q.,Robotics and Autonomous Systems,2-s2.0-105000170932,U00041,Compendex | Scopus | Web of Science Core Collection,master,Reinforcement learning-based optimal formation control of multiple robotic rollers in cooperative rolling compaction,3,Exclude,TA4,Not construction-relevant,1.00,transferred_prior_frozen_screen,,,Exclude,True
Scopus,master,Vision language model-enhanced embodied intelligence for digital twin-assisted human-robot collaborative assembly,10.1016/j.jii.2025.100943,2025,Liu C.; Tang D.; Zhu H.; Zhang Z.; Wang L.; Zhang Y.,Journal of Industrial Information Integration,2-s2.0-105015046390,U00042,Compendex | Scopus,master,Vision language model-enhanced embodied intelligence for digital twin-assisted human-robot collaborative assembly,2,Exclude,TA2,Not reinforcement learning / no DRL relevance,1.00,transferred_prior_frozen_screen,,,Exclude,True
Scopus,master,Intention recognition and task allocation in human–robot collaborative assembly based on adaptive networks and DT belief space-GA,10.1016/j.jmsy.2025.11.018,2026,He J.; Zhang C.; Wang Y.; Zheng P.; Zhang J.,Journal of Manufacturing Systems,2-s2.0-105023182072,U00043,Compendex | Scopus,master,Intention recognition and task allocation in human–robot collaborative assembly based on adaptive networks and DT belief space-GA,2,Exclude,TA2,Not reinforcement learning / no DRL relevance,1.00,transferred_prior_frozen_screen,,,Exclude,True
Scopus,master,Adaptive Policy Switching for Multi-Agent ASVs in Multi-Objective Aquatic Cleaning Environments,10.3390/s26020427,2026,Seck D.; Yanes-Luis S.; Perales-Esteve M.; Marín S.T.; Gutiérrez-Reina D.,Sensors,2-s2.0-105028634203,U00044,Compendex | Scopus | Web of Science Core Collection,master,Adaptive Policy Switching for Multi-Agent ASVs in Multi-Objective Aquatic Cleaning Environments || Adaptive Policy Switching for Multi-Agent ASVs in Multi-Objective Aquatic Cleaning Environments (Open Access),3,Exclude,TA3,Reinforcement learning used for non-embodied optimization,0.97,ordered_rule,,,,True
Scopus,master,Dynamic Decision Model for Tunnel Cross-Passage Layout Based on Multi-Source Sensor Data Fusion,10.14569/ijacsa.2026.0170119,2026,Di X.; Ruzi M.; Liu A.,International Journal of Advanced Computer Science and Applications,2-s2.0-105030548542,U00045,Compendex | Scopus,master,Dynamic Decision Model for Tunnel Cross-Passage Layout Based on Multi-Source Sensor Data Fusion || Dynamic Decision Model for Tunnel Cross-Passage Layout Based on Multi-Source Sensor Data Fusion (Open Access),2,Exclude,TA1,No physical or simulated robot/construction-machine system,0.95,ordered_rule,,,,True
Scopus,master,A Multi-View Attention-Based Encoder-Decoder Framework for Clustered Traveling Salesman Problem,10.1109/lra.2025.3632724,2026,Park J.; Choi I.; Kim H.-J.,IEEE Robotics and Automation Letters,2-s2.0-105021984806,U00046,Compendex | IEEE Xplore | Scopus | Web of Science Core Collection,master | robot_domain,A Multi-View Attention-Based Encoder-Decoder Framework for Clustered Traveling Salesman Problem,4,Exclude,TA2,Not reinforcement learning / no DRL relevance,1.00,transferred_prior_frozen_screen,,,Exclude,True
Scopus,master,Fixed-Time Convergence Adaptive Robust Controller for Overhead Cranes Based on Reinforcement Learning Considering Input Saturation,10.1002/acs.4005,2025,Wei J.; Xu W.,International Journal of Adaptive Control and Signal Processing,2-s2.0-105002139460,U00047,Compendex | Scopus | Web of Science Core Collection,master,Fixed-Time Convergence Adaptive Robust Controller for Overhead Cranes Based on Reinforcement Learning Considering Input Saturation,3,Exclude,TA2,No deep function approximator identified in the available title and abstract metadata,0.93,uniform_deep_embodied_gate,,,,True
Scopus,master,A reinforcement learning and nonlinear adaptive backstepping hierarchical control for autonomous remote construction using 5G network,10.1016/j.cacaie.2026.100013,2026,Xiao Y.; Yang T.Y.,Computer-Aided Civil and Infrastructure Engineering,2-s2.0-105044300518,U00048,Compendex | Scopus | Web of Science Core Collection,master,A reinforcement learning and nonlinear adaptive backstepping hierarchical control for autonomous remote construction using 5G network || A reinforcement learning and nonlinear adaptive backstepping hierarchical control for autonomous remote construction using 5G network (Open Access),3,Include for full-text eligibility,,Known eligible report recalled by V4,1.00,gold_recall_protection,R091,Structured comparative,Exclude,False
Scopus,master,NeuroSecure: Revolutionizing security in radioactive material transport with Deep Q-Learning and autonomous vehicle rerouting,10.1016/j.anucene.2025.111998,2026,Touarsi A.; Kharchaf A.; Mahjoub C.E.,Annals of Nuclear Energy,2-s2.0-105023830705,U00049,Scopus,master,NeuroSecure: Revolutionizing security in radioactive material transport with Deep Q-Learning and autonomous vehicle rerouting,1,Exclude,TA6,No evaluated learned path to embodied execution in the available metadata,0.88,ordered_rule,,,,True
Scopus,master,Industrial Application of Multi-agent Systems,10.1007/978-981-95-0705-4_40,2026,Faheem M.; Das J.; Pal V.C.; Pati A.,Lecture Notes in Electrical Engineering,2-s2.0-105046060704,U00050,Scopus,master,Industrial Application of Multi-agent Systems,1,Exclude,TA4,Not construction-relevant,1.00,transferred_prior_frozen_screen,,,Exclude,True
Scopus,master,Safety-aware predictive motion planning for close-range human-UAV collaboration in construction,10.1016/j.autcon.2026.106771,2026,Ren T.; Jebelli H.,Automation in Construction,2-s2.0-105028321144,U00051,Compendex | Scopus | Web of Science Core Collection,master,Safety-aware predictive motion planning for close-range human-UAV collaboration in construction,3,Include for full-text eligibility,,Known eligible report recalled by V4,1.00,gold_recall_protection,R127,Structured comparative,Exclude,False
Scopus,master,Construction and performance evaluation of AI automatic scheduling algorithm for multi-task collaboration,10.1049/icp.2025.3858,2026,Xu Y.; Peng B.; Zhang H.; Piao H.,IET Conference Proceedings,2-s2.0-105040272656,U00052,IEEE Xplore | Scopus,master | robot_domain,Construction and performance evaluation of AI automatic scheduling algorithm for multi-task collaboration,2,Exclude,TA3,RL used only for non-embodied optimization,1.00,transferred_prior_frozen_screen,,,Exclude,True
