configuration_id,representative_report_id,citation_key,title,report_lineage_id,reports_in_lineage,task_and_failure_regime,learned_role_in_execution,execution_time_protection,validation_exposure_code,validation_exposure,command_path_summary,final_evaluation_summary,supported_operating_scope
CU_R016,R016,egli2024reinforcement,Reinforcement learning-based bucket filling for autonomous excavation,L004_HEAP_EXCAVATOR_EGLI_PLATFORM,4,Earthwork and Material Processing,Bounded skill or supervisory,Boundary monitoring,L5,L5 — Workflow-integrated repeated operation,Learned joint-velocity references converted to piston-velocity references and tracked by PID plus feedforward valve-flow control.,"Simulation ablations compare torque and explicit-soil observations across five seeds and about 12,500 initialized episodes for penetration analysis. Hardware evaluation includes five consecutive scoops per soil/constraint scenario and three autonomous trench trials with different accuracy thresholds.","Supports full-scale bucket filling and nominal trench completion on the reported machine, loose previously excavated trench soil, sensing/control stack, and tested soil/constraint scenarios. It does not support unattended operation, immovable-rock handling, heterogeneous subsurface recovery, hard enforcement of every bound, or resumption after a physical failure."
CU_R017,R017,eriksson2024automatic,Automatic loading of unknown material with a wheel loader using reinforcement learning,L005_ERIKSSON_WHEEL_LOADER_BUCKET_FILLING,2,Earthwork and Material Processing,Bounded skill or supervisory,Command intervention,L3,L3 — Construction-representative testbed,"Lift, tilt and throttle commands from a learned loading controller; safety-driver manual abort remains available (III.D).","Controllers are evaluated after each ten-episode block using ten bucket fillings per controller, reporting mean and standard deviation of material weight and loading time against a human-operator baseline.","Supports delay-aware physical fine-tuning and noise-free evaluation of a lift--tilt--throttle bucket-filling controller on the reported full-size machine and target gravel pile, with safety-driver abort authority. Does not establish an activated abort, event-linked recovery, navigation/dumping cycles, or multi-site generalization."
CU_R018,R018,eriksson2024optimizing,Optimizing bucket-filling strategies for wheel loaders inside a dream environment,L005_ERIKSSON_WHEEL_LOADER_BUCKET_FILLING,2,Earthwork and Material Processing,Bounded skill or supervisory,No reported active execution-time protection,L3,L3 — Construction-representative testbed,"Mediated skill/reference, supervisory, or shared-control configuration","The world-model policy, imitation baseline, and target-pile-fine-tuned baseline each run ten physical trials on the same pile and day; a human expert provides a comparison. Outcomes are loaded mass, loading time, and successful bucket filling defined as not getting stuck.","Supports direct full-size bucket-filling execution for the reported L576, gravel-like pile, phase logic, historical-data envelope, and ten-trial protocol. It does not support arbitrary material transfer, online world-model adaptation, autonomous failed-scoop recovery, or sustained loading workflow."
CU_R019,R019,Lee2024181,Task Space Control of Hydraulic Construction Machines Using Reinforcement Learning,L010_LEE_BROKK_170_DATA_MODEL,2,Earthwork and Material Processing,Bounded skill or supervisory,No reported active execution-time protection,L2,L2 — Varied laboratory hardware,"Mediated skill/reference, supervisory, or shared-control configuration","One 30 s predefined multi-joint signal sequence compares simulated and measured motion. Physical task-space evaluation applies separate prescribed x-, y-, and z-velocity sequences to the RL and Jacobian-based controllers; repeat counts and uncertainty are not reported.","Supports free-space task-space velocity control on the reported fixed-base Brokk 170, PWM cap, actuator-data range, and prescribed sequences. It does not support tool-loaded construction work, mobile operation, independent collision/singularity safety, human-performance benefit, or recovery."
CU_R020,R020,Lin2024,Physics-informed deep reinforcement learning for enhancement on tunnel boring machine's advance speed and stability,SINGLETON_R020,1,Earthwork and Material Processing,Bounded skill or supervisory,No reported active execution-time protection,L0,L0 — Simulation only,"Mediated skill/reference, supervisory, or shared-control configuration","The learned policy is compared with recorded manual operation over the last 146 ring conditions and with physics ablations, pDDPG, and TD3 variants. Outcomes are model-predicted advance speed, chamber-pressure balance, and action distributions.","Supports physics-constrained model-based optimization for the reported C885 data, selected variables, and virtual ring sequence. It does not support autonomous EPB-TBM execution, field safety improvement, cross-geology transfer, independent safeguarding, or recovery."
CU_R021,R021,LinPosition2024,Automated position control of tunnel boring machine during excavation using deep reinforcement learning,L011_T308_TBM_PROJECT,2,Earthwork and Material Processing,Bounded skill or supervisory,No reported active execution-time protection,L0,L0 — Simulation only,"Mediated skill/reference, supervisory, or shared-control configuration",TD3 and DDPG outputs are compared with manual records over 500 held-out sample conditions. Outcomes include learned-environment horizontal and vertical tail deviations and distributions of four cylinder-group thrust forces.,"Supports time-series learned-environment optimization for the reported 200-ring project section, feature set, and held-out sequence. It does not support autonomous TBM steering, physical safety benefit, cross-project generalization, independent protection, or recovery."
CU_R023,R023,shen2024generalized,Generalized Framework for Wheel Loader Automatic Shoveling Task with Expert Initialized Reinforcement Learning,L008_SHEN_MUSTANG_2040_LOADING,1,Earthwork and Material Processing,Bounded skill or supervisory,No reported active execution-time protection,L3,L3 — Construction-representative testbed,"Mediated skill/reference, supervisory, or shared-control configuration",One hundred randomized simulated episodes compare CoL and TD3 fill rate. Physical evaluation reports five attempts on wet soil and five on medium-coarse gravel; two gravel attempts fail for unspecified safety issues. Joint trajectories are compared between simulation and experiment.,"Supports expert-initialized, inverse-dynamics-mediated shoveling on the reported loader and two material conditions under a ten-attempt protocol. It does not support failure-safe autonomy, stable pile-independent performance, automatic recovery, navigation/dumping cycles, or general wheel-loader robustness."
CU_R024,R024,yoo20243d,3d operation of autonomous excavator based on reinforcement learning through independent reward for individual joints,SINGLETON_R024,1,Earthwork and Material Processing,Bounded skill or supervisory,No reported active execution-time protection,L2,L2 — Varied laboratory hardware,"Mediated skill/reference, supervisory, or shared-control configuration",Physical point-chasing covers four linear and three sloped trajectories at different mean heights and is compared once with corresponding skilled-operator paths. Outcomes are mean and maximum bucket-tip errors for each prescribed trajectory; repeat counts and uncertainty are not reported.,"Supports four-joint free-space bucket-tip tracking on the reported secured DX225LC-7 and prescribed trajectory set. It does not support autonomous excavation, grading quality, payload handling, independent physical safety, failure recovery, or sustained operation."
CU_R025,R025,chen2025safe,Safe reinforcement learning for tracking control of uncertain hydraulic excavators,SINGLETON_R025,1,Earthwork and Material Processing,Residual learning within classical control,Command intervention,L3,L3 — Construction-representative testbed,Residual learning within classical control,"One reported physical 5-s reference trajectory moves boom and arm while bucket and slew remain stationary. Bucket-tip and cylinder tracking traces are shown; repetitions, uncertainty, material displacement, and comparison under a physical disturbance are not reported.","Supports continuous BLF-mediated hydraulic tracking for the stated model assumptions, initial-bound condition, platform parameters, and short reference test. It does not support certified task safety, collision avoidance, material-process robustness, emergency response, or recovery."
CU_R026,R026,gruetter2025towards,Towards Learning Boulder Excavation with Hydraulic Excavators,SINGLETON_R026,1,Earthwork and Material Processing,Bounded skill or supervisory,Command intervention,L3,L3 — Construction-representative testbed,"Mediated skill/reference, supervisory, or shared-control configuration",Simulation tests span 50 scanned geometries and soft/hard soil parameters; a held-out test uses 25 unseen 0.8--1.0 m rock geometries in hard soil; the learned controller is compared with a continuous-excavation RL baseline.,"The policy receives proprioceptive variables and a sparse cloud of 20 three-dimensional points. Supports single-target boulder acquisition with a standard bucket on the reported fixed-base 12-ton excavator, tested rock sizes, soil classes, manually initialized segmentation, and 40-trial protocol; does not support recovery from complete occlusion, autonomous multi-rock clearing, or sustained workflow resumption."
CU_R027,R027,helian2025reinforcement,Reinforcement Learning-Based Autonomous Control Methodology of Hydraulic Excavators,SINGLETON_R027,1,Earthwork and Material Processing,Bounded skill or supervisory,No reported active execution-time protection,L0,L0 — Simulation only,"Mediated skill/reference, supervisory, or shared-control configuration","Case A compares eight-hour fixed-50-Hz and ACF training, yielding about 40k versus 110k steps. Cases B and C assess pump-flow reward and untrained workload/valve response. A depicted 26-s simulated sequence completes approach, digging, lifting, and dumping.","Supports simulation-only study of valve-level PPO, adaptive control frequency, shaped constraint penalties, and zero-shot modeled load variation. It does not support physical excavation, hard safety enforcement, failure recovery, or construction productivity."
CU_R028,R028,kadokawa2025progressive,Progressive-resolution policy distillation: Leveraging coarse-resolution simulations for time-efficient fine-resolution policy learning,SINGLETON_R028,1,Earthwork and Material Processing,Bounded skill or supervisory,Command intervention,L3,L3 — Construction-representative testbed,"Mediated skill/reference, supervisory, or shared-control configuration","Nine rock types (five wooden shapes and three differently sized printed artificial rocks as described in the source table, with the ninth object requiring direct table verification) are crossed with three ground materials. Each cell reports 20 trials from five policies at four positions; success requires the rock held in the bucket with the bucket off the ground.","Supports progressive-resolution training and direct laboratory rock pickup for the reported UR5e, objects, granular beds, sensing, and 20-trial cells. It does not support full-scale excavation, excavator productivity, autonomous recovery, or general site robustness."
CU_R029,R029,Kim2025896,Enhanced Hydraulic Excavator Control via Semi-automatic Grading Control Using Reinforcement Learning,SINGLETON_R029,1,Earthwork and Material Processing,Bounded skill or supervisory,No reported active execution-time protection,L0,L0 — Simulation only,"Mediated skill/reference, supervisory, or shared-control configuration",Fine-grading simulation covers a 5 m target and 10 s cycle. Ten random 10 s test trajectories evaluate the forward model. RL versus manual-pattern RMSE is 0.023 versus 0.041 m and 0.392 versus 1.357 degrees.,Supports semi-automatic 10 s grading in the stated simulator and controller partition only.
CU_R030,R030,mori2025human,Human-in-the-Loop Reinforcement Learning to Track Excavation Paths for a Hydraulic Excavator in a Short Period of Time,SINGLETON_R030,1,Earthwork and Material Processing,Bounded skill or supervisory,No reported active execution-time protection,L3,L3 — Construction-representative testbed,"Mediated skill/reference, supervisory, or shared-control configuration","Post-training safety evaluation extends the gravelly-active-A controller for 128 consecutive excavation episodes (28,618 steps, 38 minutes); fill-ratio evaluation uses three target BFRs and ten trials per target for available cases.","Supports short-duration human-assisted online adaptation and autonomous post-training path tracking for the reported excavator, homogeneous soils, fixed soil-pit sensing, hard-coded five-phase paths, and conservative pitch requirement; does not support unattended learning, heterogeneous soil transfer, autonomous post-failure recovery, or general excavation planning."
CU_R032,R032,shin2025adaptive,Adaptive Excavation Automation in Complex Soil Environments Using Reinforcement Learning,SINGLETON_R032,1,Earthwork and Material Processing,Bounded skill or supervisory,No reported active execution-time protection,L0,L0 — Simulation only,"Mediated skill/reference, supervisory, or shared-control configuration","Random soft, medium, and hard parameter ranges assess force-limit success. A 20-by-50 three-zone global task uses ten repeated trials per model; proposed MAE is 0.065 m and resistance improves 18.1% over baselines.","Supports static-per-cycle analytical soil parameter ranges and the reported grid, not rapidly changing or unknown site soil."
CU_R033,R033,tan2025reinforcement,Reinforcement learning-based trajectory planning for continuous digging of excavator working devices in trenching tasks,SINGLETON_R033,1,Earthwork and Material Processing,Bounded skill or supervisory,No reported active execution-time protection,L0,L0 — Simulation only,"Mediated skill/reference, supervisory, or shared-control configuration","Four simulation conditions report sub-0.5 s planning, excavation rate above 92%, and composite metrics below 0.14. MBD--DEM shows three successive Condition-1 excavations with slippage-related contour deviation.",Supports the reported mathematical and MBD--DEM environments; no claim extends to prototype tracking or nonuniform material.
CU_R034,R034,Zhang2025,Time-optimal online trajectory planning for excavator robotics based on reinforcement learning,SINGLETON_R034,1,Earthwork and Material Processing,Bounded skill or supervisory,No reported active execution-time protection,L0,L0 — Simulation only,"Mediated skill/reference, supervisory, or shared-control configuration","One trimming-plane target compares convergence, training time, reward, smoothness, and modeled completion time across DDPG, TRPO, TD3, and improved TD3.",Supports the stated PC1012 dimensions and MATLAB kinematic task only.
CU_R035,R035,cho2026collaborative,Collaborative learning architecture for autonomous excavator planning and execution,SINGLETON_R035,1,Earthwork and Material Processing,Bounded skill or supervisory,No reported active execution-time protection,L0,L0 — Simulation only,"Mediated skill/reference, supervisory, or shared-control configuration","1,000 training plus 1,000 unseen trajectories; 1,000 random terrains; 100 repeated trajectory trials; 50 integrated soft/hard mound trials.",Supports the reported randomized heightfields and soft/hard virtual mounds; completion thresholds partly reflect similarity to simulated experts.
CU_R037,R037,shen2026solving,Solving robotics tasks with prior demonstration via exploration-efficient deep reinforcement learning,SINGLETON_R037,1,Earthwork and Material Processing,Bounded skill or supervisory,Boundary monitoring,L3,L3 — Construction-representative testbed,"Mediated skill/reference, supervisory, or shared-control configuration",Simulation reports rewards averaged over five episodes. Physical evaluation comprises 25 post-redesign trials.,"Supports wet sand and stone under the stated loader, controller, and operator partition; not learned navigation or autonomous travel speed."
CU_R038,R038,spinelli2026large,"Large-Scale Robotic Material Handling: Learning, Planning, and Control",L006_SPINELLI_MATERIAL_HANDLER_PLATFORM,2,Earthwork and Material Processing,Bounded skill or supervisory,Command intervention,L5,L5 — Workflow-integrated repeated operation,"Mediated skill/reference, supervisory, or shared-control configuration","The integrated pile-transfer evaluation reports more than 20 repeated cycles with grasp, transport and unloading sequenced by the state machine. Component tests and the truck-loading variant provide separate supporting evidence, not the basis of the L5 recovery assessment.","Supports workflow-integrated repeated pile transfer on the fixed-base handler within manually specified source and dump regions. Truck loading is a separate evaluated variant. Mobile-base operation, adaptive safety margins and recovery after module failure are not established."
CU_R039,R039,Sun2026,Digital twin--enabled real-time control of tunnel boring machines using deep reinforcement learning for cumulative settlement management,SINGLETON_R039,1,Earthwork and Material Processing,Bounded skill or supervisory,No reported active execution-time protection,L0,L0 — Simulation only,"Mediated skill/reference, supervisory, or shared-control configuration","Virtual alignment comparison reports reward/settlement of 3813/2.34 mm with MCTS, 2303/4.30 mm without MCTS, and 2152/5.16 mm for NSGA-II.","Supports the Nanjing model, two pressure actions, and modeled settlement/cost trade-offs; attitude, thrust, torque, advance rate, and policy execution are outside scope."
CU_R040,R040,wang2025intelligent,Intelligent attitude control in tunnel boring machine considering uncertain underground environment using deep reinforcement learning,L011_T308_TBM_PROJECT,2,Earthwork and Material Processing,Bounded skill or supervisory,No reported active execution-time protection,L0,L0 — Simulation only,"Mediated skill/reference, supervisory, or shared-control configuration",Two hundred nominal trials; 200 ultimate-capacity trials; project-profile replays; ten-segment manual comparison; six settlement bands with 200 trials each.,"Supports the elastic approximation, project-derived profiles, and stated settlement bands; not rebound, loading-path effects, actuator dynamics, or field execution."
CU_R044,R044,spinelli2024reinforcement,Reinforcement learning control for autonomous hydraulic material handling machines with underactuated tools,L006_SPINELLI_MATERIAL_HANDLER_PLATFORM,2,Earthwork and Material Processing,Bounded skill or supervisory,No reported active execution-time protection,L3,L3 — Construction-representative testbed,"Mediated skill/reference, supervisory, or shared-control configuration","Physical tests issue steady-state references at 15 s intervals. Slew-only policies are compared with tuned PI control; full end-effector sequences are compared with a 15-year operator and a 0.5--2-year operator. Empty and loaded cases also remove load estimation. Tables report metrics averaged over different runs, but do not disclose a uniform trial count. Evaluation measures slew speed, overshoot, target error, and tool angular velocity rather than grasp or material throughput.","Supports full-scale sim-to-real target tracking and oscillation damping for the reported hydraulic handler under controlled empty and loaded conditions. It does not support autonomous collision-free material handling, grasping reliability, fault recovery, or production workflow continuity."
CU_R050,R050,molaei2026data,Data-driven rock capture with a standard excavator via model-free reinforcement learning,SINGLETON_R050,1,Earthwork and Material Processing,Bounded skill or supervisory,No reported active execution-time protection,L0,L0 — Simulation only,"Mediated skill/reference, supervisory, or shared-control configuration","Three sets of 100 AGX Dynamics episodes evaluate the training condition, unseen rock geometries, and unseen sand material, reporting success rates of 0.79, 0.77, and 0.67. Each episode is limited to 500 steps, approximately 8.3 s.","Supports simulated contact-rich rock capture for the reported excavator model under bounded geometry and material variation with exact rock-centre-of-mass observations. It does not support autonomous free-space approach, vision-based state estimation, hydraulic transfer, physical operation, or failure recovery."
CU_R054,R054,liang2020teaching,Teaching robots to perform quasi-repetitive construction tasks through human demonstration,SINGLETON_R054,1,Structural Assembly and Installation,Bounded skill or supervisory,No reported active execution-time protection,L0,L0 — Simulation only,"Mediated skill/reference, supervisory, or shared-control configuration",Sixty virtual initial scenes use varied grid and tile staging positions. Success requires final non-overlap below 30 cubic centimetres; 47 of 60 trials succeed.,"Supports the stated Gazebo KUKA emulator, tile and grid geometry, fixed viewpoint, and visual demonstrations; physical contact, alignment inspection, force control, varied cameras, and unseen tile shapes remain outside scope."
CU_R055,R055,apolinarska2021robotic,Robotic assembly of timber joints using reinforcement learning,SINGLETON_R055,1,Structural Assembly and Installation,Bounded skill or supervisory,Command intervention,L3,L3 — Construction-representative testbed,"Mediated skill/reference, supervisory, or shared-control configuration","The trained policies are rolled out in simulation and on hardware across joint angle, notch gap, initial linear/angular offset, and single- versus double-lap geometry. Figure-level trial counts require direct visual verification.","Supports low-speed final insertion of the reported spruce half-lap specimens on one ABB workcell, within tested angle, gap, and offset ranges. It does not support complete frame assembly, structural acceptance, sub-millimetre tight fits across geometries, post-jam recovery, or continued production after abort."
CU_R056,R056,belousov2022robotic,Robotic architectural assembly with tactile skills: Simulation and optimization,SINGLETON_R056,1,Structural Assembly and Installation,Bounded skill or supervisory,No reported active execution-time protection,L0,L0 — Simulation only,TD3 supplies six target arm-joint velocities and a gripper-closure command for a bounded stacking skill in simulation.,"TD3 is evaluated on 1,000 unseen simulated structures every 100,000 training steps; the reported block-position error is approximately 8 mm. The separate self-supervised tactile-transition-model/MPC hardware experiment achieves 19 of 30 joins and is not physical validation of this TD3 configuration.",Supports simulated stacking with randomized block goals and grasps. Episode distance and time termination do not disclose an independent execution-time safeguard. Physical tactile MPC results are retained only as a distinct qualitative architecture.
CU_R057,R057,cai2022reinforcement,A reinforcement learning based approach for conducting multiple tasks using robots in virtual construction environments,L020_CAI_UNITY_CONSTRUCTION_ROBOT_PPO,2,Structural Assembly and Installation,Bounded skill or supervisory,No reported active execution-time protection,L0,L0 — Simulation only,"Mediated skill/reference, supervisory, or shared-control configuration","Each task receives 50,000 inference action steps. Success is reported as episode-level pick and place percentages, but exact episode counts and independent seeds are not stated.","Supports Unity pick-and-place of modeled 15 kg panels within the virtual arm workspace; physical transfer, contact, fastening, sensing uncertainty, and accepted installation quality remain outside scope."
CU_R059,R059,huang2022deep,Deep reinforcement learning-based construction robots collaboration for sequential tasks,L013_HUANG_LI_WINDOW_COLLABORATION_SIMULATION,2,Structural Assembly and Installation,Bounded skill or supervisory,No reported active execution-time protection,L0,L0 — Simulation only,"Mediated skill/reference, supervisory, or shared-control configuration","Ten batches of 100 randomized UGV starts evaluate arrival, pickup, and geometric installation. Aggregate counts are 975, 948, and 796 successes.","Supports the simplified PyBullet UGV--KUKA sequence and geometric placement criterion; physical collaboration, sensing, fastening, simultaneous coordination, and failure recovery remain outside scope."
CU_R060,R060,kalousdian2022learning,Learning robotic manipulation of natural materials with variable properties for construction tasks,SINGLETON_R060,1,Structural Assembly and Installation,Bounded skill or supervisory,No reported active execution-time protection,L3,L3 — Construction-representative testbed,"Mediated skill/reference, supervisory, or shared-control configuration",Seen/unseen simulated configurations report above 80% success and the stated generalization drops; physical trials are unquantified demonstrations.,"Supports the two tasks on the reported hanging robot and bamboo demonstrator, not autonomous bamboo construction or fault recovery."
CU_R061,R061,huang2023dexterous,Dexterous manipulation of construction tools using anthropomorphic robotic hand,SINGLETON_R061,1,Structural Assembly and Installation,Bounded skill or supervisory,No reported active execution-time protection,L0,L0 — Simulation only,"Mediated skill/reference, supervisory, or shared-control configuration","The pretrained mug policy is first tested in 2,000 attempts per tool. Fine-tuned policies are evaluated over seven tool scales, including six unseen scales; the downstream toolbox task is evaluated in 50 trials.","Supports the stated MuJoCo Adroit hand, six modeled tools, scale sweep, and virtual toolbox geometry; physical tools, tool operation, sensing uncertainty, safety, and construction-task completion remain outside scope."
CU_R062,R062,huang2023imitate,To imitate or not to imitate: Boosting reinforcement learning-based construction robotic control for long-horizon tasks using virtual demonstrations,SINGLETON_R062,1,Structural Assembly and Installation,Bounded skill or supervisory,No reported active execution-time protection,L0,L0 — Simulation only,"Mediated skill/reference, supervisory, or shared-control configuration","Ten agents are evaluated on the randomized-start task. Reported counts sum to 9,981 pickups and 9,392 geometric installations across 10,000 agent-trials; a no-demonstration comparator achieves no success under the shorter episode limit.","Supports the simplified PyBullet KUKA task, exact simulator state, automatic attachment, and fixed wall target; physical sensing, collision, contact, fastening, standards, and recovery remain outside scope."
