record_id,report_id,title,doi,year,retrieval_route,synthesis_role
U01326,R115,Digital twin-driven deep reinforcement learning for adaptive task allocation in robotic construction,10.1016/j.aei.2022.101710,2022,database retrieved,Structured comparative
U01332,R130,Autonomous Navigation of Wheel Loaders using Task Decomposition and Reinforcement Learning,10.1109/case56687.2023.10260481,2023,database retrieved,Eligible contextual
U01371,R095,A Real-time Smooth Lifting Path Planning for Tower Crane Based on TD3 with Discrete-Continuous Hybrid Action Space,10.1145/3547578.3547592,2022,database retrieved,Structured comparative
U01377,R154,An Integrated Approach Combining Virtual Environments and Reinforcement Learning to Train Construction Robots for Conducting Tasks Under Uncertainties,10.1007/978-3-031-34593-7_17,2023,database retrieved,Structured comparative
U01403,R054,Teaching robots to perform quasi-repetitive construction tasks through human demonstration,10.1016/j.autcon.2020.103370,2020,database retrieved,Structured comparative
U01411,R009,Towards autonomous and optimal excavation of shield machine: a deep reinforcement learning-based approach; [题目:迈向盾构机自主最优掘进:一种基于深度强化学习的方法],10.1631/jzus.a2100325,2022,database retrieved,Structured comparative
U01418,R156,Study on the Autonomous Walking of an Underground Definite Route LHD Machine Based on Reinforcement Learning,10.3390/app12105052,2022,database retrieved,Structured comparative
U01422,R065,Visual Spatial Attention and Proprioceptive Data-Driven Reinforcement Learning for Robust Peg-in-Hole Task Under Variable Conditions,10.1109/lra.2023.3243526,2023,database retrieved,Structured comparative
U01438,R003,Route optimization for autonomous bulldozer by distributed deep reinforcement learning,10.1109/icm46511.2021.9385686,2021,database retrieved,Structured comparative
U01440,R023,Generalized Framework for Wheel Loader Automatic Shoveling Task with Expert Initialized Reinforcement Learning,10.1109/sii58957.2024.10417575,2024,database retrieved,Structured comparative
U01441,R043,Wheel Loader Scooping Controller Using Deep Reinforcement Learning,10.1109/access.2021.3056625,2021,database retrieved,Eligible contextual
U01470,R075,Experimental Digital Twin of a Tunnel Ring Building Erector,10.1109/eurocon56442.2023.10198935,2023,database retrieved,Eligible contextual
U01476,R005,A General Approach for the Automation of Hydraulic Excavator Arms Using Reinforcement Learning,10.1109/lra.2022.3152865,2022,database retrieved,Structured comparative
U01485,R158,A real-time trajectory planning method for overhead crane based on deep reinforcement learning,10.1109/yac63405.2024.10598810,2024,database retrieved,Eligible contextual
U01489,R093,Automation of crane control for block lifting based on deep reinforcement learning,10.1093/jcde/qwac063,2022,database retrieved,Eligible contextual
U01490,R129,Autonomous construction hoist system based on deep reinforcement learning in high-rise building construction,10.1016/j.autcon.2021.103737,2021,database retrieved,Eligible contextual
U01513,R002,Simulation-based Reinforcement Learning Approach towards Construction Machine Automation,,2020,database retrieved,Structured comparative
U01522,R042,Automated Excavator Based on Reinforcement Learning and Multibody System Dynamics,10.1109/access.2020.3040246,2020,database retrieved,Eligible contextual
U01559,R001,Autonomous grading work using deep reinforcement learning based control,10.1109/iecon.2018.8591189,2018,database retrieved,Structured comparative
U01569,R041,Optimal routing control of a construction machine by deep reinforcement learning,10.1109/amc.2019.8371085,2018,database retrieved,Structured comparative
U01633,R083,Accuracy and Generality of Trained Models for Lift Planning Using Deep Reinforcement Learning-Optimization of the Crane Hook Movement between Two Points,,2020,database retrieved,Structured comparative
U01650,R073,Slabstone installation skill acquisition for dual-arm robot based on reinforcement learning,10.1109/robio49542.2019.8961805,2019,database retrieved,Eligible contextual
U01655,R128,Robot construction simulation using deep reinforcement learning,,2020,database retrieved,Eligible contextual
U02092,R038,"Large-Scale Robotic Material Handling: Learning, Planning, and Control",10.1109/tfr.2026.3662619,2026,database retrieved,Structured comparative
U02315,R016,Reinforcement Learning-Based Bucket Filling for Autonomous Excavation,10.1109/tfr.2024.3432508,2024,database retrieved,Structured comparative
R008,R008,AGPNet -- Autonomous Grading Policy Network,10.22260/ICRA2022/0013,2022,Supplementary/citation/preprint route,Structured comparative
R012,R012,Learning excavation of rigid objects with offline reinforcement learning,10.48550/arxiv.2303.16427,2023,Supplementary/citation/preprint route,Structured comparative
R024,R024,3d operation of autonomous excavator based on reinforcement learning through independent reward for individual joints,10.48550/arxiv.2406.19848,2024,Supplementary/citation/preprint route,Structured comparative
R026,R026,Towards Learning Boulder Excavation with Hydraulic Excavators,10.48550/arxiv.2509.17683,2025,Supplementary/citation/preprint route,Structured comparative
R057,R057,A reinforcement learning based approach for conducting multiple tasks using robots in virtual construction environments,10.22260/icra2022/0014,2022,Supplementary/citation/preprint route,Structured comparative
R059,R059,Deep reinforcement learning-based construction robots collaboration for sequential tasks,10.22260/icra2022/0015,2022,Supplementary/citation/preprint route,Structured comparative
R060,R060,Learning robotic manipulation of natural materials with variable properties for construction tasks,10.1109/lra.2022.3159288,2022,Supplementary/citation/preprint route,Structured comparative
R066,R066,Training of construction robots using imitation learning and environmental rewards,10.1111/mice.13394,2025,Supplementary/citation/preprint route,Structured comparative
R070,R070,Teaching Robot End Effectors to Grasp Construction Tools Based on Deep Reinforcement Learning,10.29007/ft8h,2025,Supplementary/citation/preprint route,Structured comparative
R077,R077,Construction Robot Skill Learning for Fragile Object Installation with Low-Effort Demonstration and Sample-Efficient Hierarchical Reinforcement Learning Models,,2025,Supplementary/citation/preprint route,Eligible contextual
R079,R079,Reinforcement Learning Assisted Robotic Construction for Masonry Block Dry-Stacking in Simulation Environments,,2025,Supplementary/citation/preprint route,Eligible contextual
R110,R110,Autonomous robotic additive manufacturing through distributed model-free deep reinforcement learning in computational design environments,10.1007/s41693-022-00069-0,2022,Supplementary/citation/preprint route,Structured comparative
R117,R117,Deep Reinforcement Learning-based Task Assignment and Path Planning for Multi-agent Construction Robots,10.22260/icra2023/0008,2023,Supplementary/citation/preprint route,Structured comparative
R124,R124,Robot in the loop: a human-centered approach to contextualizing {AI} and robotics in construction,10.1007/s41693-024-00144-8,2025,Supplementary/citation/preprint route,Structured comparative
U159,R159,A reinforcement learning based construction material supply strategy using robotic crane and computer vision for building reconstruction after an earthquake,10.48550/arXiv.2308.16280,2023,Supplementary/citation/preprint route,Structured comparative
U00532,R160,Learning Adaptive Controller for Hydraulic Machinery Automation,10.1109/LRA.2024.3372831,2024,database retrieved,Structured comparative
