report_id,citation_key,title,task_and_failure_regime,execution_time_protection,validation_exposure_code,validation_exposure,detection_status,detection_evidence,response_status,response_evidence,restoration_status,restoration_evidence,continuation_status,continuation_evidence,review_status
R028,kadokawa2025progressive,Progressive-resolution policy distillation: Leveraging coarse-resolution simulations for time-efficient fine-resolution policy learning,Earthwork and Material Processing,Command intervention,L3,L3 — Construction-representative testbed,Partial or indirect evidence,"PDF p. 7, physical setup and evaluation. Binary contact observations and torque-limited movement are specified. Contact with the target or ground is also part of nominal excavation. No identified limit event and activated protective response is linked to the reported physical trials.",Partial or indirect evidence,"PDF p. 7, physical setup and evaluation. Binary contact observations and torque-limited movement are specified. Contact with the target or ground is also part of nominal excavation. No identified limit event and activated protective response is linked to the reported physical trials.",Not demonstrated in the final evaluation,Not reported after a failed pickup; success only requires an elevated retained rock.,Not demonstrated in the final evaluation,"Not reported. Approach and dumping are outside the learned task, and the report does not show post-failure resumption.","Event-evidence reassessment, 24 September 2026, following author-approved criterion; AI-assisted source review. Historical coauthor verification is retained in the separate baseline, not asserted for these revised assignments."
R030,mori2025human,Human-in-the-Loop Reinforcement Learning to Track Excavation Paths for a Hydraulic Excavator in a Short Period of Time,Earthwork and Material Processing,No reported active execution-time protection,L3,L3 — Construction-representative testbed,Partial or indirect evidence,"PDF p. 13, Section VI.D and Fig. 13. The additional 128-episode evaluation measures pitch and reports no pitch-limit violation or human intervention. Training takeovers and monitored risk variables do not establish an event-triggered detection or response in this evaluation.",Partial or indirect evidence,"PDF p. 13, Section VI.D and Fig. 13. The additional 128-episode evaluation measures pitch and reports no pitch-limit violation or human intervention. Training takeovers and monitored risk variables do not establish an event-triggered detection or response in this evaluation.",Partial or indirect evidence,TRAINING_ONLY: the operator demonstrates recovery from hazardous states. Autonomous task-state restoration after deployment is not demonstrated.,Partial or indirect evidence,"TRAINING_ONLY: authority returns to the controller after the human demonstration; after training, 128 successive excavations proceed without intervention, but recovery from a deployment-time failure is not tested.","Event-evidence reassessment, 24 September 2026, following author-approved criterion; AI-assisted source review. Historical coauthor verification is retained in the separate baseline, not asserted for these revised assignments."
R037,shen2026solving,Solving robotics tasks with prior demonstration via exploration-efficient deep reinforcement learning,Earthwork and Material Processing,Boundary monitoring,L3,L3 — Construction-representative testbed,Partial or indirect evidence,Large contact forces and unstable outputs were observed initially; no autonomous online failure classifier is described.,Partial or indirect evidence,Output boom/bucket position references through one-sided admittance with torque saturation; retain operator forward-travel authority.,Not demonstrated in the final evaluation,Loading and lifting complete after redesign; restoration of a failed in-progress scoop is not reported.,Not demonstrated in the final evaluation,Post-redesign trials restart under the revised controller; no within-trial autonomous resumption is documented.,Baseline assessment reviewed and confirmed by the coauthors on 7 September 2026
R038,spinelli2026large,"Large-Scale Robotic Material Handling: Learning, Planning, and Control",Earthwork and Material Processing,Command intervention,L5,L5 — Workflow-integrated repeated operation,Partial or indirect evidence,"Fused LiDAR and OctoMap represent pile and obstacles; joint encoders, IMU, and pressure sensors estimate machine and tool motion; tube distance measures path-margin adherence; the source does not specify a general fault detector beyond module feedback.",Partial or indirect evidence,"The pile-transfer configuration combines attack-point selection, waypoints and learned motion modules within a state machine; an event-triggered recovery response is not explicitly demonstrated. Truck-loading oscillation thresholds belong to a separate variant.",Not demonstrated in the final evaluation,Not reported after module FAILED feedback or a constraint violation.,Partial or indirect evidence,State-machine sequencing resumes the nominal next phase after SUCCESS; autonomous retry or continuation after FAILED is not documented.,Baseline assessment reviewed and confirmed by the coauthors on 7 September 2026
R044,spinelli2024reinforcement,Reinforcement learning control for autonomous hydraulic material handling machines with underactuated tools,Earthwork and Material Processing,No reported active execution-time protection,L3,L3 — Construction-representative testbed,Partial or indirect evidence,"Joint encoders, hydraulic pressures, cabin and tool IMUs, action history, and optional pressure-based load estimate enter the execution stack. The system observes motion state but does not classify faults or obstacles.",Partial or indirect evidence,The PPO policy changes slew joystick command and boom/stick velocity references; downstream feed-forward/PI control converts the arm references to machine joystick inputs.,Not demonstrated in the final evaluation,"NOT DEMONSTRATED after collision, excessive overshoot, lost load, failed grasp, or hydraulic fault. Settling at a target is nominal regulation rather than post-failure restoration.",Not demonstrated in the final evaluation,Not reported; sequential reference tracking does not demonstrate resumption of a material-handling workflow after interruption.,Baseline assessment reviewed and confirmed by the coauthors on 7 September 2026
R055,apolinarska2021robotic,Robotic assembly of timber joints using reinforcement learning,Structural Assembly and Installation,Command intervention,L3,L3 — Construction-representative testbed,Enacted in the final evaluation,"PDF pp. 4–6, Sections 4.6, 5.2 and 5.3. Real execution is aborted when sensor or wrist-torque limits are exceeded. The physical single-lap and double-lap results explicitly attribute unsuccessful trials to these violations. Together these passages support an activated abort, not just a possible safeguard. Restoration and resumption are not demonstrated.",Enacted in the final evaluation,"PDF pp. 4–6, Sections 4.6, 5.2 and 5.3. Real execution is aborted when sensor or wrist-torque limits are exceeded. The physical single-lap and double-lap results explicitly attribute unsuccessful trials to these violations. Together these passages support an activated abort, not just a possible safeguard. Restoration and resumption are not demonstrated.",Not demonstrated in the final evaluation,Not reported after an aborted or jammed insertion.,Not demonstrated in the final evaluation,"Not reported; the study evaluates independent insertion rollouts and excludes preceding pickup, transport, fastening, and downstream assembly steps.","Event-evidence reassessment, 24 September 2026, following author-approved criterion; AI-assisted source review. Historical coauthor verification is retained in the separate baseline, not asserted for these revised assignments."
R060,kalousdian2022learning,Learning robotic manipulation of natural materials with variable properties for construction tasks,Structural Assembly and Installation,No reported active execution-time protection,L3,L3 — Construction-representative testbed,Partial or indirect evidence,Internal sensors and claw switches provide state and contact; no explicit disturbance classifier is defined.,Partial or indirect evidence,Command joint positions for reaching or transport; mechanically retain claw grip after motor failure.,Not demonstrated in the final evaluation,Not reported after failed execution.,Not demonstrated in the final evaluation,Not reported; interrupted assembly is not tested.,Baseline assessment reviewed and confirmed by the coauthors on 7 September 2026
R063,lee2023reinforcement,Reinforcement learning-based virtual fixtures for teleoperation of hydraulic construction machine,Structural Assembly and Installation,Boundary monitoring,L3,L3 — Construction-representative testbed,Partial or indirect evidence,Learned joystick guidance and human observation provide indirect contact-state evidence.,Partial or indirect evidence,The person executes the learned guidance; a failed-contact response sequence is not demonstrated.,Not demonstrated in the final evaluation,No restored contact condition after an event is documented.,Not demonstrated in the final evaluation,No event-linked continued task sequence is documented.,Baseline assessment reviewed and confirmed by the coauthors on 7 September 2026
R065,yasutomi2023visual,Visual spatial attention and proprioceptive data-driven reinforcement learning for robust peg-in-hole task under variable conditions,Structural Assembly and Installation,No reported active execution-time protection,L3,L3 — Construction-representative testbed,Enacted in the final evaluation,"PDF p. 3, Section II-A/Fig. 2; physical evaluation. Wall contact obstructs insertion. The search procedure withdraws from contact, restores clearance and continues the search within the task. This is prescribed contact withdrawal, not learned repair of the work.",Enacted in the final evaluation,"PDF p. 3, Section II-A/Fig. 2; physical evaluation. Wall contact obstructs insertion. The search procedure withdraws from contact, restores clearance and continues the search within the task. This is prescribed contact withdrawal, not learned repair of the work.",Enacted in the final evaluation,"Separation re-establishes clearance for renewed search/contact, not repair of a jam or damaged interface.",Enacted in the final evaluation,Search continues to another attempt within the same task episode; ordinary wall contact does not terminate the episode.,"Event-evidence reassessment, 24 September 2026, following author-approved criterion; AI-assisted source review. Historical coauthor verification is retained in the separate baseline, not asserted for these revised assignments."
R066,duan2025training,Training of construction robots using imitation learning and environmental rewards,Structural Assembly and Installation,No reported active execution-time protection,L3,L3 — Construction-representative testbed,Partial or indirect evidence,AprilTag and RealSense provide pose; no physical glass-drop recovery state machine is described.,Partial or indirect evidence,"Generate joint targets, then invoke inverse kinematics inside fixed thresholds.",Not demonstrated in the final evaluation,Not reported after collision or glass fall.,Not demonstrated in the final evaluation,Not reported; arm reset appears only in a proposed workflow.,Baseline assessment reviewed and confirmed by the coauthors on 7 September 2026
R067,duan2025visual,Visual--tactile learning of robotic cable-in-duct installation skills,Structural Assembly and Installation,No reported active execution-time protection,L3,L3 — Construction-representative testbed,Partial or indirect evidence,RealSense pose and tactile orientation provide observations; no explicit wall-slide detector.,Partial or indirect evidence,"Approach, align, insert, then regrasp and push for nominal advancement.",Not demonstrated in the final evaluation,Not reported after wall-sliding failure.,Not demonstrated in the final evaluation,Not reported; repeated pushing belongs to nominal success.,Baseline assessment reviewed and confirmed by the coauthors on 7 September 2026
R072,Wang2026104580,Mixed reality and machine learning-guided cable robot framework (MMCR) for real-time prefabricated construction automation,Structural Assembly and Installation,Command intervention,L3,L3 — Construction-representative testbed,Partial or indirect evidence,"PDF pp. 10–12, physical results; p. 14, appendix. Cable-tension monitoring, a permitted tension window and human verification are specified. The physical results do not identify a tension excursion or an activated correction associated with that event.",Partial or indirect evidence,"PDF pp. 10–12, physical results; p. 14, appendix. Cable-tension monitoring, a permitted tension window and human verification are specified. The physical results do not identify a tension excursion or an activated correction associated with that event.",Not demonstrated in the final evaluation,"No event-linked restoration of failed grasp, placement, tension or pose is shown.",Not demonstrated in the final evaluation,Completed assembly and assistance questions do not document resumption after an event.,"Event-evidence reassessment, 24 September 2026, following author-approved criterion; AI-assisted source review. Historical coauthor verification is retained in the separate baseline, not asserted for these revised assignments."
R090,xiao2025autonomous,Autonomous construction framework for crane control with enhanced soft actor--critic algorithm and real-time progress monitoring,Material Placement and Lifting,Command intervention,L4,L4 — Near-operational field trial,Partial or indirect evidence,"Crane joint sensors update position and BIM state. The safety manager observes the site; no learned wind, swing, payload-orientation, or fault detector is reported.",Partial or indirect evidence,"Generate 3D waypoints; convert through inverse kinematics and PID to turntable, inner-boom, and telescopic-boom control.",Not demonstrated in the final evaluation,NOT_ACHIEVED_FOR_ORIENTATION. The block reaches the target position but wind-induced self-rotation is left for worker or future robotic-arm correction.,Partial or indirect evidence,"The nominal transport completes, but correction, placement-quality closure, detachment, repeated blocks, and post-stop resumption are not demonstrated.",Baseline assessment reviewed and confirmed by the coauthors on 7 September 2026
R091,xiao2026remote_5g_backstepping,A reinforcement learning and nonlinear adaptive backstepping hierarchical control for autonomous remote construction using 5G network,Material Placement and Lifting,Command intervention,L4,L4 — Near-operational field trial,Partial or indirect evidence,"PDF p. 11, discussion of physical evaluation. Observers estimate motion for tracking, while communication-dependent waiting is described as a mechanism. The source states that potential failure scenarios were not included; an activated event response is not established.",Partial or indirect evidence,"PDF p. 11, discussion of physical evaluation. Observers estimate motion for tracking, while communication-dependent waiting is described as a mechanism. The source states that potential failure scenarios were not included; an activated event response is not established.",Partial or indirect evidence,"After a network wait, command execution can continue, but an injected outage and full task-state restoration sequence are not reported.",Partial or indirect evidence,The demonstrated sequence continues across block transports to a completed retaining-wall arrangement; repeated reliability and recovery after physical failure are not quantified.,"Event-evidence reassessment, 24 September 2026, following author-approved criterion; AI-assisted source review. Historical coauthor verification is retained in the separate baseline, not asserted for these revised assignments."
R108,xiao2026llm_rl_progress,Large Language Model and Reinforcement Learning Based Autonomous Construction and Progress Updates,Material Placement and Lifting,Command intervention,L4,L4 — Near-operational field trial,Enacted in the final evaluation,"PDF p. 5, Fig. 5 and accompanying evaluation. A person entering the construction zone triggers suspension after approximately 2–3 seconds; operation continues after the person leaves. External monitoring and task logic restore an available work zone and resume the task.",Enacted in the final evaluation,"PDF p. 5, Fig. 5 and accompanying evaluation. A person entering the construction zone triggers suspension after approximately 2–3 seconds; operation continues after the person leaves. External monitoring and task logic restore an available work zone and resume the task.",Enacted in the final evaluation,"Section IV.B, p. 5 and Fig. 5 report that the monitored construction zone became clear of people after suspension. This re-established the local personnel-clearance condition for lifting; it does not demonstrate correction of block-placement errors.",Enacted in the final evaluation,"Section IV.B, p. 5 explicitly reports construction continuing after no person was detected in the construction zone. Resumption after placement failure is not reported.","Event-evidence reassessment, 24 September 2026, following author-approved criterion; AI-assisted source review. Historical coauthor verification is retained in the separate baseline, not asserted for these revised assignments."
R109,xiao2026retaining_wall_crane,Development and Implementation of Machine Learning–Based Hierarchical Approach for Autonomous Retaining Wall Construction Using a Robotized Crane,Material Placement and Lifting,No reported active execution-time protection,L4,L4 — Near-operational field trial,Partial or indirect evidence,"PDF pp. 8–11, Experimental Setup/Results and Fig. 13. Object and obstacle localization support placement and planned avoidance. The physical account does not identify a departure from nominal execution followed by a detected failure-related event and recovery response.",Partial or indirect evidence,"PDF pp. 8–11, Experimental Setup/Results and Fig. 13. Object and obstacle localization support placement and planned avoidance. The physical account does not identify a departure from nominal execution followed by a detected failure-related event and recovery response.",Not demonstrated in the final evaluation,Not reported after a failed lift or collision.,Partial or indirect evidence,"Repeated successful block placements complete the retaining wall, but resumption after a failed or interrupted placement is not reported.","Event-evidence reassessment, 24 September 2026, following author-approved criterion; AI-assisted source review. Historical coauthor verification is retained in the separate baseline, not asserted for these revised assignments."
R111,wang_reinforcement_2025,Reinforcement learning-based continuous path planning and automated concrete {3D} printing of complex hollow components,Additive Manufacturing and Surface Processing,No reported active execution-time protection,L3,L3 — Construction-representative testbed,Not demonstrated in the final evaluation,The physical printing account does not identify online detection of deposited-material failure; PDF pp. 17–20.,Not demonstrated in the final evaluation,"Path smoothing and layer connection precede execution, not a measured-defect response.",Not demonstrated in the final evaluation,No usable-layer or nozzle-condition restoration is documented.,Not demonstrated in the final evaluation,Planned continuous layers do not demonstrate resumption after interruption.,Baseline assessment reviewed and confirmed by the coauthors on 7 September 2026
R124,wu2025robot,Robot in the loop: a human-centered approach to contextualizing {AI} and robotics in construction,"Navigation, Layout, and Logistics Support",Command intervention,L5,L5 — Workflow-integrated repeated operation,Partial or indirect evidence,"PDF p. 13, Section 5.1; distinguish Section 5.2 sandbox tests. At workflow exposure, workers summon and send the robot during formwork activities. A technical malfunction is reported without online diagnosis. Lower-exposure sandbox encounters and freezing statistics do not establish recovery in the selected site evaluation.",Partial or indirect evidence,"PDF p. 13, Section 5.1; distinguish Section 5.2 sandbox tests. At workflow exposure, workers summon and send the robot during formwork activities. A technical malfunction is reported without online diagnosis. Lower-exposure sandbox encounters and freezing statistics do not establish recovery in the selected site evaluation.",Not demonstrated in the final evaluation,The field malfunction is not followed by documented restoration within that event. Subsequent laboratory refinement is not field-event restoration evidence.,Partial or indirect evidence,"PARTIAL_HUMAN-MEDIATED_RESUMPTION: workers can issue new commands, while the recorded malfunction stops the prompt and is addressed later in the lab rather than resumed autonomously on site.","Event-evidence reassessment, 24 September 2026, following author-approved criterion; AI-assisted source review. Historical coauthor verification is retained in the separate baseline, not asserted for these revised assignments."
R126,gao2026deep,Deep reinforcement learning coupled with topological scene graph for dynamic path planning of autonomous bulldozer in complex earthwork construction,"Navigation, Layout, and Logistics Support",Command intervention,L4,L4 — Near-operational field trial,Partial or indirect evidence,"Algorithm 1 and p. 7 describe alert-distance hazard detection. Field perception and transition paths are reported in Section 4.2(5) and Fig. 21, without identifying an activated hazard alert during that physical evaluation.",Partial or indirect evidence,Algorithm 1 describes braking and bypass selection. The physical transition results do not identify an activated braking response.,Not demonstrated in the final evaluation,Scene-graph updating and bypass target selection describe planning. The physical results do not establish restoration of a previously lost task condition.,Partial or indirect evidence,"Section 4.2(5) and Fig. 21 show completed physical transition paths, without identifying resumption after an interruption.",Baseline assessment reviewed and confirmed by the coauthors on 7 September 2026
R160,nan2024adaptive,Learning Adaptive Controller for Hydraulic Machinery Automation,Earthwork and Material Processing,No reported active execution-time protection,L3,L3 — Construction-representative testbed,Partial or indirect evidence,Cylinder velocity and command history support tracking and latent estimation; grading trajectories are measured. No failure-trigger detector is demonstrated in the final grading evaluation (pp. 3975-3978).,Partial or indirect evidence,Policy commands regulate cylinder tracking under shallow soil contact. Human adjustment during adaptation is not a demonstrated failure-linked response in the final grading trial (pp. 3976-3978).,Not demonstrated in the final evaluation,"No restoration after failed contact, excavation or excessive penetration is demonstrated (p. 3978).",Not demonstrated in the final evaluation,No interrupted grading task is shown resuming after realized failure (p. 3978).,Baseline assessment reviewed and confirmed by the coauthors on 7 September 2026
