record_id,report_id,title,doi,year,retrieval_route,eligibility_decision,synthesis_role,exclusion_reason,decision_basis
U00076,R137,Anti-swing overhead crane control algorithm based on multi-body dynamics using reinforcement learning,10.1016/j.ijnaoe.2025.100719,2026,database retrieved,exclude,,Outside the construction or civil-infrastructure scope,Shipbuilding and shipyard application is outside the construction/civil-infrastructure scope of this review
U00080,R138,Hybrid deep reinforcement learning with generative data augmentation for TBM trajectory deviation control,10.1016/j.autcon.2026.107029,2026,database retrieved,include,Structured comparative,,"Meets the prespecified construction/civil, deep-RL, embodied-execution, and original-evidence criteria."
U00083,R034,Time-optimal online trajectory planning for excavator robotics based on reinforcement learning,10.1177/16878132251370408,2025,database retrieved,include,Structured comparative,,Previously included report retrieved by the four-database search; the recorded eligibility decision was carried forward from prior screening.
U00087,R113,Trajectory Planning for a Spraying Robotic Arm Using a Digital Twin and an Improved SAC Algorithm,10.3390/s26134285,2026,database retrieved,include,Structured comparative,,Previously included report retrieved by the four-database search; the recorded eligibility decision was carried forward from prior screening.
U00099,R052,Research on efficient trajectory planning and tracking control for excavators based on deep reinforcement learning,10.1016/j.aei.2026.104921,2026,database retrieved,exclude,,Outside the construction or civil-infrastructure scope,An excavator label and grading example alone do not satisfy the construction/civil-infrastructure eligibility criterion.
U00113,R122,Safety-constrained Deep Reinforcement Learning control for human–robot collaboration in construction,10.1016/j.autcon.2025.106130,2025,database retrieved,include,Structured comparative,,Previously included report retrieved by the four-database search; the recorded eligibility decision was carried forward from prior screening.
U00145,R081,A Curved Mortise-Tenon Timber Joint for Robotic Non-sequential Assembly with Reinforcement Learning,10.22260/isarc2026/0070,2026,database retrieved,include,Eligible contextual,,Previously included report retrieved by the four-database search; the recorded eligibility decision was carried forward from prior screening.
U00157,R082,Digital twin-enabled synchronous jacking control of an aerial building machine using a scale model,10.1016/j.autcon.2026.107076,2026,database retrieved,include,Eligible contextual,,Eligible report used for contextual synthesis without a comparable executing configuration in the structured analysis.
U00159,R036,Research on Adaptive Cutting Path Planning for Bolter Miner Based on PPO Reinforcement Learning,10.1109/aiita69518.2026.11567104,2026,database retrieved,exclude,,Outside the construction or civil-infrastructure scope,"The evaluated application is mining, not construction or civil infrastructure."
U00169,R035,Collaborative learning architecture for autonomous excavator planning and execution,10.1016/j.autcon.2025.106742,2026,database retrieved,include,Structured comparative,,Previously included report retrieved by the four-database search; the recorded eligibility decision was carried forward from prior screening.
U00171,R090,Autonomous construction framework for crane control with enhanced soft actor–critic algorithm and real-time progress monitoring,10.1111/mice.13427,2025,database retrieved,include,Structured comparative,,Previously included report retrieved by the four-database search; the recorded eligibility decision was carried forward from prior screening.
U00186,R139,Adaptive TBM deviation correction with deep reinforcement learning considering physical constraints,10.1016/j.autcon.2026.107036,2026,database retrieved,include,Structured comparative,,"Meets the prespecified construction/civil, deep-RL, embodied-execution, and original-evidence criteria."
U00193,R108,Large Language Model and Reinforcement Learning Based Autonomous Construction and Progress Updates,10.1109/acdsa67686.2026.11468021,2026,database retrieved,include,Structured comparative,,Previously included report retrieved by the four-database search; the recorded eligibility decision was carried forward from prior screening.
U00200,R046,Reinforcement Learning with World Models for Autonomous Excavation Optimization in Wheel Loaders,10.1016/j.ifacol.2025.12.184,2025,database retrieved,include,Eligible contextual,,Previously included report retrieved by the four-database search; the recorded eligibility decision was carried forward from prior screening.
U00206,R140,Event-triggered RL-MPC for connecting barrel-arm collision avoidance control in an electric-driven mining excavator,10.1007/s11768-026-00334-5,2026,database retrieved,exclude,,Outside the construction or civil-infrastructure scope,The evaluated application is explicitly mining.
U00215,R072,Mixed reality and machine learning-guided cable robot framework (MMCR) for real-time prefabricated construction automation,10.1016/j.aei.2026.104580,2026,database retrieved,include,Structured comparative,,Previously included report retrieved by the four-database search; the recorded eligibility decision was carried forward from prior screening.
U00226,R071,Harnessing human expertise for high-precision robotic assembly in industrialized construction: A sample-efficient installer-in-the-loop interactive reinforcement learning framework,10.1016/j.aei.2026.104823,2026,database retrieved,include,Structured comparative,,Previously included report retrieved by the four-database search; the recorded eligibility decision was carried forward from prior screening.
U00230,R039,Digital twin–enabled real-time control of tunnel boring machines using deep reinforcement learning for cumulative settlement management,10.1016/j.autcon.2025.106725,2026,database retrieved,include,Structured comparative,,Previously included report retrieved by the four-database search; the recorded eligibility decision was carried forward from prior screening.
U00233,R050,Data-driven rock capture with a standard excavator via model-free reinforcement learning,10.1016/j.autcon.2026.106869,2026,database retrieved,include,Structured comparative,,Previously included report retrieved by the four-database search; the recorded eligibility decision was carried forward from prior screening.
U00260,R033,Reinforcement learning-based trajectory planning for continuous digging of excavator working devices in trenching tasks,10.1111/mice.13428,2025,database retrieved,include,Structured comparative,,Previously included report retrieved by the four-database search; the recorded eligibility decision was carried forward from prior screening.
U00281,R089,AUTONOMOUS MODULAR CONSTRUCTION STRATEGY USING ROBOTIZED CRANE BASED ON DEEP LEARNING AND REINFORCEMENT LEARNING,10.3846/jcem.2025.24043,2025,database retrieved,include,Structured comparative,,Previously included report retrieved by the four-database search; the recorded eligibility decision was carried forward from prior screening.
U00282,R135,Toward next-generation autonomous structural health monitoring and inspection with humanoid robots,10.1016/j.cacaie.2026.100007,2026,database retrieved,include,Eligible contextual,,Previously included report retrieved by the four-database search; the recorded eligibility decision was carried forward from prior screening.
U00287,R107,Expert-guided reinforcement learning for tower crane control under wind disturbances,10.1109/ecitech69277.2026.11601270,2026,database retrieved,include,Eligible contextual,,Previously included report retrieved by the four-database search; the recorded eligibility decision was carried forward from prior screening.
U00318,R111,Reinforcement learning-based continuous path planning and automated concrete 3D printing of complex hollow components,10.1016/j.autcon.2025.106290,2025,database retrieved,include,Structured comparative,,Previously included report retrieved by the four-database search; the recorded eligibility decision was carried forward from prior screening.
U00328,R025,Safe reinforcement learning for tracking control of uncertain hydraulic excavators,10.1007/s11071-025-11500-w,2025,database retrieved,include,Structured comparative,,Previously included report retrieved by the four-database search; the recorded eligibility decision was carried forward from prior screening.
U00337,R048,Bayesian reinforcement learning for adaptive control of energy recuperation in hydraulic excavator arms,10.1038/s41598-026-35391-y,2026,database retrieved,include,Eligible contextual,,Previously included report retrieved by the four-database search; the recorded eligibility decision was carried forward from prior screening.
U00352,,A simulation study of decomposition-based inverse reinforcement learning toward construction automation: The case of excavator in challenging environments,10.1016/j.dibe.2026.100908,2026,database retrieved,exclude,,No eligible deep reinforcement-learning method,The proposed method computes tabular/closed-form Q-values and does not use an eligible deep function approximator.
U00355,R134,Learning Humanoid Loco-Manipulation for Transporting Unwieldy Construction Objects,10.22260/isarc2026/0003,2026,database retrieved,include,Eligible contextual,,Previously included report retrieved by the four-database search; the recorded eligibility decision was carried forward from prior screening.
U00365,R049,Autonomous Unloading Control of a Wheel Loader Based on Dump-Truck Bed Perception,10.3390/app16104811,2026,database retrieved,include,Eligible contextual,,Previously included report retrieved by the four-database search; the recorded eligibility decision was carried forward from prior screening.
U00366,,AssemblyComplete: 3D Combinatorial Construction with Deep Reinforcement Learning,10.1016/j.ifacol.2025.12.346,2025,database retrieved,exclude,,Outside the construction or civil-infrastructure scope,Generic/Lego assembly rather than a construction or civil-infrastructure task.
U00369,R106,Experimental study on SAC-based real-time disturbance rejection method and multi-parameter tuning for cross-space cable-driven parallel robot in underground mines,10.1007/s12206-026-0647-5,2026,database retrieved,exclude,,Outside the construction or civil-infrastructure scope,The evaluated application is explicitly mining.
U00400,R121,Enhancing construction robot collaboration via multiagent reinforcement learning,10.26599/jic.2025.9180089,2025,database retrieved,include,Structured comparative,,Previously included report retrieved by the four-database search; the recorded eligibility decision was carried forward from prior screening.
U00434,R141,TD3-Enhanced MPC for Safe Braking of Overhead Cranes with Safety-Critical Region Prediction,10.3390/act15060334,2026,database retrieved,include,Structured comparative,,"Meets the prespecified construction/civil, deep-RL, embodied-execution, and original-evidence criteria."
U00445,R051,A hierarchical partially observable Markov decision process framework for tunnel boring machine trajectory navigation,10.1016/j.engappai.2025.113663,2026,database retrieved,include,Eligible contextual,,Previously included report retrieved by the four-database search; the recorded eligibility decision was carried forward from prior screening.
U00449,,Towards reinforcement learning based log loading automation,10.24425/ame.2026.158900,2026,database retrieved,exclude,,Outside the construction or civil-infrastructure scope,Forestry log-loading application rather than construction or civil infrastructure.
U00478,R142,A perception-to-control computational pipeline for humanoid robot-based construction surface finishing via attention-based normal refinement and residual reinforcement learning,10.1016/j.cacaie.2026.100168,2026,database retrieved,include,Structured comparative,,"Meets the prespecified construction/civil, deep-RL, embodied-execution, and original-evidence criteria."
U00485,R080,Synchronous control of multiple hydraulic cylinders in aerial building machine using improved deep reinforcement learning,10.1016/j.autcon.2025.106448,2025,database retrieved,include,Structured comparative,,Previously included report retrieved by the four-database search; the recorded eligibility decision was carried forward from prior screening.
U00493,R143,Stable Equivariant Reinforcement Learning for High-Precision Wheel Loader Unloading,10.1109/tie.2026.3697451,2026,database retrieved,include,Eligible contextual,,"Meets the prespecified construction/civil, deep-RL, embodied-execution, and original-evidence criteria."
U00496,,Excavator Path Planning Based on Reinforcement Learning,10.1177/18758967251358112,2026,database retrieved,exclude,,Outside the construction or civil-infrastructure scope,Smart-port bulk-storage operation outside the construction/civil task scope.
U00499,R104,Domain-Model-Map-based reinforcement learning for feedforward anti-sway control of overhead cranes,10.1016/j.ijnaoe.2026.100763,2026,database retrieved,exclude,,Outside the construction or civil-infrastructure scope,Evaluated system is not situated in a construction/civil task
U00515,R132,Autonomous Wheel Loader Navigation Using Goal-Conditioned Actor-Critic MPC,10.1109/icra55743.2025.11127375,2025,database retrieved,include,Eligible contextual,,Previously included report retrieved by the four-database search; the recorded eligibility decision was carried forward from prior screening.
U00521,,Cooperative Relaying for Connected Construction Equipment Networks With Hybrid Hierarchical Proximal Policy Optimization,10.1109/tcomm.2024.3507640,2025,database retrieved,exclude,,The learned output does not enter embodied task execution,RL controls communications relaying rather than robot or construction-machine execution.
U00540,R144,Simulation of Coherent Excavator Operations in Earthmoving Tasks Based on Reinforcement Learning,10.3390/buildings14103270,2024,database retrieved,include,Structured comparative,,"Meets the prespecified construction/civil, deep-RL, embodied-execution, and original-evidence criteria."
U00547,R123,Vision-based Control for Excavator Navigation Using Deep Reinforcement Learning,10.1109/aims66189.2025.11229794,2025,database retrieved,include,Structured comparative,,Previously included report retrieved by the four-database search; the recorded eligibility decision was carried forward from prior screening.
U00573,R015,Model-based offline reinforcement learning framework for optimizing tunnel boring machine operation,10.1016/j.undsp.2024.01.008,2024,database retrieved,exclude,,No eligible deep reinforcement-learning method,The implemented deep dynamics model is trained by prediction loss; cost-based MPC/search does not establish a deep function trained with a reinforcement-learning objective under the review eligibility rule.
U00575,R118,Synchronized path planning and tracking for front and rear axles in articulated wheel loaders,10.1016/j.autcon.2024.105538,2024,database retrieved,include,Structured comparative,,Previously included report retrieved by the four-database search; the recorded eligibility decision was carried forward from prior screening.
U00576,R097,Deep Reinforcement Learning-Based Control for Asynchronous Motor-Actuated Triple Pendulum Crane Systems with Distributed Mass Payloads,10.1109/tie.2023.3262891,2024,database retrieved,include,Eligible contextual,,The source-located construction application meets the construction/civil-infrastructure scope criterion; included in the contextual synthesis because the experiment is not a construction-site workflow trial.
U00595,R020,Physics-informed deep reinforcement learning for enhancement on tunnel boring machine's advance speed and stability,10.1016/j.autcon.2023.105234,2024,database retrieved,include,Structured comparative,,Previously included report retrieved by the four-database search; the recorded eligibility decision was carried forward from prior screening.
U00610,R131,Navigating Vision-based Autonomous Excavator Robot Using Deep Reinforcement Learning,10.1109/eecsi67060.2025.11290309,2025,database retrieved,include,Structured comparative,,Previously included report retrieved by the four-database search; the recorded eligibility decision was carried forward from prior screening.
U00618,R145,Robust Reinforcement Learning For Overhead Crane Control With Variable Load Conditions,10.1109/iccc62069.2024.10569379,2024,database retrieved,exclude,,Outside the construction or civil-infrastructure scope,Generic industrial crane control
U00627,R032,Adaptive Excavation Automation in Complex Soil Environments Using Reinforcement Learning,10.1109/tase.2025.3611032,2025,database retrieved,include,Structured comparative,,Previously included report retrieved by the four-database search; the recorded eligibility decision was carried forward from prior screening.
U00633,R029,Enhanced Hydraulic Excavator Control via Semi-automatic Grading Control Using Reinforcement Learning,10.1007/s12555-024-0213-9,2025,database retrieved,include,Structured comparative,,Previously included report retrieved by the four-database search; the recorded eligibility decision was carried forward from prior screening.
U00635,,Neural algorithm for optimization of multidimensional object controller parameters,10.1007/s00521-024-10213-2,2024,database retrieved,exclude,,Outside the construction or civil-infrastructure scope,Generic controller study without an eligible construction/civil application.
U00639,R103,Safe reinforcement learning-based control using deep deterministic policy gradient algorithm and slime mould algorithm with experimental tower crane system validation,10.1016/j.ins.2024.121640,2025,database retrieved,include,Structured comparative,,Previously included report retrieved by the four-database search; the recorded eligibility decision was carried forward from prior screening.
U00661,R028,Progressive-Resolution Policy Distillation: Leveraging Coarse-Resolution Simulations for Time-Efficient Fine-Resolution Policy Learning,10.1109/tase.2025.3590068,2025,database retrieved,include,Structured comparative,,Previously included report retrieved by the four-database search; the recorded eligibility decision was carried forward from prior screening.
U00663,R120,Stepping Locomotion for a Walking Excavator Robot using Hierarchical Reinforcement Learning and Action Masking,10.1109/iros60139.2025.11247348,2025,database retrieved,include,Structured comparative,,Previously included report retrieved by the four-database search; the recorded eligibility decision was carried forward from prior screening.
U00664,R045,Cooperative Work Simulation of Construction Equipment using Multi-Agent Deep Reinforcement Learning,10.1109/aihcir67580.2025.11405210,2025,database retrieved,include,Eligible contextual,,Previously included report retrieved by the four-database search; the recorded eligibility decision was carried forward from prior screening.
U00666,R119,Adaptive Intelligence for Robot Navigation Efficiency with a Deep Reinforcement Learning-Based Cyber-Physical System,10.1061/9780784486115.088,2024,database retrieved,include,Structured comparative,,Previously included report retrieved by the four-database search; the recorded eligibility decision was carried forward from prior screening.
U00673,R102,Disturbance Compensation-Based Deep Reinforcement Learning Control Strategy for Underactuated Overhead Crane Systems: Design and Experiments,10.1109/tits.2025.3547322,2025,database retrieved,exclude,,Outside the construction or civil-infrastructure scope,No source-located construction/civil application for the evaluated system
U00676,R018,Optimizing bucket-filling strategies for wheel loaders inside a dream environment,10.1016/j.autcon.2024.105804,2024,database retrieved,include,Structured comparative,,Previously included report retrieved by the four-database search; the recorded eligibility decision was carried forward from prior screening.
U00681,R076,Substructure-Preserving Generalization for on-site robotic construction planning,10.1109/iscipt61983.2024.10672942,2024,database retrieved,include,Eligible contextual,,Previously included report retrieved by the four-database search; the recorded eligibility decision was carried forward from prior screening.
U00682,R047,Autonomous loading of ore piles with Load-Haul-Dump machines using deep reinforcement learning,10.1016/j.eswa.2024.125770,2025,database retrieved,include,Eligible contextual,,Previously included report retrieved by the four-database search; the recorded eligibility decision was carried forward from prior screening.
U00690,R088,Deep Reinforcement Learning for Tower Crane Layout Planning in Dense Multi-Building Sites,10.1109/aihcir67580.2025.11404849,2025,database retrieved,include,Structured comparative,,Previously included report retrieved by the four-database search; the recorded eligibility decision was carried forward from prior screening.
U00699,R146,Human-Inspired Inverse Reinforcement Learning for Autonomous Excavator Operations in Lunar Environments,10.22260/isarc2025/0044,2025,database retrieved,exclude,,No eligible deep reinforcement-learning method,"It fails the deep-RL criterion. It is also an earlier report in the same lunar-excavation lineage as U00352, but FT2 is the primary reason."
U00719,R044,Reinforcement Learning Control for Autonomous Hydraulic Material Handling Machines with Underactuated Tools,10.1109/iros58592.2024.10802199,2024,database retrieved,include,Structured comparative,,Previously included report retrieved by the four-database search; the recorded eligibility decision was carried forward from prior screening.
U00746,R021,Automated position control of tunnel boring machine during excavation using deep reinforcement learning,10.1016/j.asoc.2024.112234,2024,database retrieved,include,Structured comparative,,Previously included report retrieved by the four-database search; the recorded eligibility decision was carried forward from prior screening.
U00751,R133,SLAM-Assisted Transformer-Based TD3 Deep Reinforcement Learning for Adaptive Navigation and Mapping and Dynamic Obstacle Avoidance in Autonomous Construction Robotics,10.1061/9780784486443.057,2025,database retrieved,include,Eligible contextual,,Previously included report retrieved by the four-database search; the recorded eligibility decision was carried forward from prior screening.
U00755,R031,Achieving Wheel Loader Automatic Consistent Loading via Simulated Bucket-media Interactions,10.1109/iccma67641.2025.11369548,2025,database retrieved,exclude,,Outside the construction or civil-infrastructure scope,"Under the review eligibility criteria, a wheel-loader platform alone is insufficient; the mechanics may remain adjacent literature."
U00773,R030,Human-in-the-Loop Reinforcement Learning to Track Excavation Paths for a Hydraulic Excavator in a Short Period of Time,10.1109/access.2025.3585182,2025,database retrieved,include,Structured comparative,,Previously included report retrieved by the four-database search; the recorded eligibility decision was carried forward from prior screening.
U00780,R069,Reinforcement Learning-Based Motion Planning for Robotic Bricklaying in Construction Environments,10.1061/9780784486443.068,2025,database retrieved,include,Structured comparative,,Previously included report retrieved by the four-database search; the recorded eligibility decision was carried forward from prior screening.
U00804,R087,Integrated reinforcement and imitation learning for tower crane lift path planning,10.1016/j.autcon.2024.105568,2024,database retrieved,include,Structured comparative,,Previously included report retrieved by the four-database search; the recorded eligibility decision was carried forward from prior screening.
U00833,R068,Cutaway View Learning for Visually-Guided Assembly with Crane,10.1109/case58245.2025.11163919,2025,database retrieved,include,Structured comparative,,Previously included report retrieved by the four-database search; the recorded eligibility decision was carried forward from prior screening.
U00871,R099,Deep reinforcement learning based online lifting path planning for tower cranes in unknown dynamic environments,10.1177/17298806241283176,2024,database retrieved,include,Structured comparative,,Previously included report retrieved by the four-database search; the recorded eligibility decision was carried forward from prior screening.
U00905,R027,Reinforcement Learning-Based Autonomous Control Methodology of Hydraulic Excavators,10.1109/iros60139.2025.11247184,2025,database retrieved,include,Structured comparative,,Previously included report retrieved by the four-database search; the recorded eligibility decision was carried forward from prior screening.
U00908,R112,A new concept for large additive manufacturing in construction: tower crane-based 3D printing controlled by deep reinforcement learning,10.1108/ci-10-2022-0278,2024,database retrieved,include,Structured comparative,,Previously included report retrieved by the four-database search; the recorded eligibility decision was carried forward from prior screening.
U00960,R078,Reinforcement Learning with Vision-based State Estimation for Generalized Robotic Assembly,10.22260/isarc2025/0025,2025,database retrieved,include,Eligible contextual,,Previously included report retrieved by the four-database search; the recorded eligibility decision was carried forward from prior screening.
U00963,R100,Adaptive reinforcement learning-based control using proximal policy optimization and slime mould algorithm with experimental tower crane system validation,10.1016/j.asoc.2024.111687,2024,database retrieved,include,Structured comparative,,Previously included report retrieved by the four-database search; the recorded eligibility decision was carried forward from prior screening.
U00969,R017,Automatic Loading of Unknown Material with a Wheel Loader Using Reinforcement Learning,10.1109/icra57147.2024.10610221,2024,database retrieved,include,Structured comparative,,Previously included report retrieved by the four-database search; the recorded eligibility decision was carried forward from prior screening.
U00973,R147,Comparative Study of Reinforcement Learning-Enhanced Control Strategies for Nonlinear Multidimensional Systems,10.1109/metroxraine66377.2025.11340573,2025,database retrieved,include,Eligible contextual,,"Meets the prespecified construction/civil, deep-RL, embodied-execution, and original-evidence criteria."
U00980,R067,Visual–tactile learning of robotic cable-in-duct installation skills,10.1016/j.autcon.2024.105905,2025,database retrieved,include,Structured comparative,,Previously included report retrieved by the four-database search; the recorded eligibility decision was carried forward from prior screening.
U00990,R148,Autonomous collaborative optimization control of earth pressure balance shield machine based on hierarchical control architecture,10.1016/j.engappai.2024.109200,2024,database retrieved,include,Structured comparative,,"Meets the prespecified construction/civil, deep-RL, embodied-execution, and original-evidence criteria."
U00997,R149,Learning Time-Optimal Control of Gantry Cranes,10.1109/icmla61862.2024.00139,2024,database retrieved,include,Eligible contextual,,"Meets the prespecified construction/civil, deep-RL, embodied-execution, and original-evidence criteria."
U01005,R013,Learning Adaptive Policies for Autonomous Excavation under Various Soil Conditions by Adversarial Domain Sampling,10.1109/lra.2023.3296933,2023,database retrieved,include,Structured comparative,,Previously included report retrieved by the four-database search; the recorded eligibility decision was carried forward from prior screening.
U01008,R150,Enhancing Crane Handling Safety: A Deep Deterministic Policy Gradient Approach to Collision-Free Path Planning,10.1109/indin51400.2023.10218087,2023,database retrieved,include,Eligible contextual,,"Meets the prespecified construction/civil, deep-RL, embodied-execution, and original-evidence criteria."
U01014,R058,Impedance control method with reinforcement learning for dual-arm robot installing slabstone,10.1007/s12206-022-0436-8,2022,database retrieved,exclude,,No eligible deep reinforcement-learning method,"The construction and embodied criteria are satisfied, but the deep-RL criterion is not."
U01017,R004,Soil-Adaptive Excavation Using Reinforcement Learning,10.1109/lra.2022.3189834,2022,database retrieved,include,Structured comparative,,Previously included report retrieved by the four-database search; the recorded eligibility decision was carried forward from prior screening.
U01019,R116,Prediction-Based Path Planning for Safe and Efficient Human-Robot Collaboration in Construction via Deep Reinforcement Learning,10.1061/(asce)cp.1943-5487.0001056,2023,database retrieved,include,Structured comparative,,Previously included report retrieved by the four-database search; the recorded eligibility decision was carried forward from prior screening.
U01029,R006,Excavation Reinforcement Learning Using Geometric Representation,10.1109/lra.2022.3150511,2022,database retrieved,include,Structured comparative,,Previously included report retrieved by the four-database search; the recorded eligibility decision was carried forward from prior screening.
U01037,R007,Deep Reinforcement Learning with Adversarial Training for Automated Excavation Using Depth Images,10.1109/access.2022.3140781,2022,database retrieved,include,Structured comparative,,Previously included report retrieved by the four-database search; the recorded eligibility decision was carried forward from prior screening.
U01040,R151,Coordinated Tuning of Slurry Shield Control Parameters based on Reinforcement Learning,10.1109/icrae59816.2023.10458482,2023,database retrieved,include,Structured comparative,,"Meets the prespecified construction/civil, deep-RL, embodied-execution, and original-evidence criteria."
U01044,R011,Autonomous Pick-and-Place Using Excavator Based on Deep Reinforcement Learning,10.1109/icitee59582.2023.10317662,2023,database retrieved,include,Structured comparative,,Previously included report retrieved by the four-database search; the recorded eligibility decision was carried forward from prior screening.
U01046,R061,Dexterous manipulation of construction tools using anthropomorphic robotic hand,10.1016/j.autcon.2023.105133,2023,database retrieved,include,Structured comparative,,Previously included report retrieved by the four-database search; the recorded eligibility decision was carried forward from prior screening.
U01048,R114,Terrain Adaption Controller for a Walking Excavator Robot using Deep Reinforcement Learning,10.1109/icar53236.2021.9659399,2021,database retrieved,include,Structured comparative,,Previously included report retrieved by the four-database search; the recorded eligibility decision was carried forward from prior screening.
U01068,R010,Excavation of Fragmented Rocks with Multi-modal Model-based Reinforcement Learning,10.1109/iros47612.2022.9981537,2022,database retrieved,exclude,,No eligible deep reinforcement-learning method,The implemented deep dynamics model is trained by prediction loss; cost-based MPC/search does not establish a deep function trained with a reinforcement-learning objective under the review eligibility rule.
U01078,R062,To imitate or not to imitate: Boosting reinforcement learning-based construction robotic control for long-horizon tasks using virtual demonstrations,10.1016/j.autcon.2022.104691,2023,database retrieved,include,Structured comparative,,Previously included report retrieved by the four-database search; the recorded eligibility decision was carried forward from prior screening.
U01081,R152,Continuous control of an underground loader using deep reinforcement learning,10.3390/machines9100216,2021,database retrieved,exclude,,Outside the construction or civil-infrastructure scope,The evaluated application is explicitly mining.
U01095,R019,Task Space Control of Hydraulic Construction Machines Using Reinforcement Learning,10.1007/978-3-031-55000-3_13,2024,database retrieved,include,Structured comparative,,Previously included report retrieved by the four-database search; the recorded eligibility decision was carried forward from prior screening.
U01098,R084,Reinforcement learning-based simulation and automation for tower crane 3D lift planning,10.1016/j.autcon.2022.104620,2022,database retrieved,include,Structured comparative,,Previously included report retrieved by the four-database search; the recorded eligibility decision was carried forward from prior screening.
U01106,,Cooperative zone-based rebalancing of idle overhead hoist transportations using multi-agent reinforcement learning with graph representation learning,10.1080/24725854.2020.1851823,2021,database retrieved,exclude,,Outside the construction or civil-infrastructure scope,Semiconductor overhead-transport application outside construction/civil infrastructure.
U01141,R064,Enhancing construction robot learning for collaborative and long-horizon tasks using generative adversarial imitation learning,10.1016/j.aei.2023.102140,2023,database retrieved,include,Structured comparative,,Previously included report retrieved by the four-database search; the recorded eligibility decision was carried forward from prior screening.
U01151,R098,Deep reinforcement learning with domain randomization for overhead crane control with payload mass variations,10.1016/j.conengprac.2023.105689,2023,database retrieved,exclude,,Outside the construction or civil-infrastructure scope,A generic application list does not situate the evaluated configuration in construction
U01163,,Deep Reinforcement Learning for Real-Time Assembly Planning in Robot-Based Prefabricated Construction,10.1109/tase.2023.3236805,2023,database retrieved,exclude,,The learned output does not enter embodied task execution,"The construction and deep-RL criteria are satisfied, but the learned output never enters the embodied execution chain required by the review eligibility criteria."
U01164,R063,Reinforcement Learning-based Virtual Fixtures for Teleoperation of Hydraulic Construction Machine∗,10.1109/ro-man57019.2023.10309417,2023,database retrieved,include,Structured comparative,,Previously included report retrieved by the four-database search; the recorded eligibility decision was carried forward from prior screening.
U01170,R153,Passivity-Based Online Reinforcement Learning for Real Time Model-Free Overhead Crane System Control,10.1109/ccdc55256.2022.10034123,2022,database retrieved,include,Eligible contextual,,"Meets the prespecified construction/civil, deep-RL, embodied-execution, and original-evidence criteria."
