configuration_id,report_id,citation_key,title,exposure,endpoint,work_output,subsequent_state,source_url,source_locator,evidence_basis_and_scope
CU_R060,R060,kalousdian2022learning,Learning robotic manipulation of natural materials with variable properties for construction tasks,L3,Y,N,N,https://doi.org/10.1109/lra.2022.3159288,"PDF p.7, hardware proof of concept","Physical bamboo transport and reaching support E. The reported nine-metre locomotion uses inverse kinematics, not the learned policy. No separate product evaluation or subsequent-state use was identified."
CU_R063,R063,lee2023reinforcement,Reinforcement learning-based virtual fixtures for teleoperation of hydraulic construction machine,L3,Y,N,N,https://doi.org/10.1109/ro-man57019.2023.10309417,"PDF pp.6–7, Figures 9–11, user study","Human-guided physical insertion supports E, not autonomous completion. Kinematic trajectories and workload scores do not evaluate the produced component. No qualifying subsequent-state use was identified."
CU_R065,R065,yasutomi2023visual,Visual spatial attention and proprioceptive data-driven reinforcement learning for robust peg-in-hole task under variable conditions,L3,Y,N,N,https://doi.org/10.1109/lra.2023.3243526,"PDF p.7, experimental results and conclusion","Physical peg insertion supports E, not completed anchoring or hammering quality. Prescribed withdrawal and renewed search belong to the separate recovery assessment and do not automatically establish D."
CU_R066,R066,duan2025training,Training of construction robots using imitation learning and environmental rewards,L3,Y,N,N,https://doi.org/10.1111/mice.13394,"PDF pp.13–14, Section 4, Figure 10","Physical glass transport to a target supports E. The target-distance threshold is a completion criterion, not a separate assembly-quality evaluation. No qualifying subsequent-state use was identified."
CU_R067,R067,duan2025visual,Visual--tactile learning of robotic cable-in-duct installation skills,L3,Y,N,N,https://doi.org/10.1016/j.autcon.2024.105905,"PDF pp.14–15, Figures 15–16, Table 3","Physical cable insertion supports E, with condition-specific failures retained. Pose-estimation accuracy is a perception result rather than completed wiring quality. No qualifying subsequent-state use was identified."
CU_R072,R072,Wang2026104580,Mixed reality and machine learning-guided cable robot framework (MMCR) for real-time prefabricated construction automation,L3,Y,Y,N,https://doi.org/10.1016/j.aei.2026.104580,"PDF pp.10–12, Sections 4.3.1–4.3.2, Figures 13–14","Physical component assembly supports E; assembly-error counts across the component task support W. These are complete-system outcomes, not isolated RL effects. No explicit use of characterized completed-work state for subsequent assembly was identified."
CU_R090,R090,xiao2025autonomous,Autonomous construction framework for crane control with enhanced soft actor--critic algorithm and real-time progress monitoring,L4,Y,N,N,https://doi.org/10.1111/mice.13427,"PDF pp.13–15, Section 4.3, Figures 15–17","Physical block transport supports E. Site-model calibration accuracy is not finished-work quality, and kinematic updates during transport do not establish D. Proposed rotation corrections are not demonstrated corrections."
CU_R091,R091,xiao2026remote_5g_backstepping,A reinforcement learning and nonlinear adaptive backstepping hierarchical control for autonomous remote construction using 5G network,L4,Y,Y,N,https://doi.org/10.1016/j.cacaie.2026.100013,"PDF pp.10–12, Section 3.4, Figure 15",Physical wall completion and reported construction error support E and W. Predefined targets do not establish that measured post-placement state guides later work.
CU_R108,R108,xiao2026llm_rl_progress,Large Language Model and Reinforcement Learning Based Autonomous Construction and Progress Updates,L4,Y,Y,N,https://doi.org/10.1109/acdsa67686.2026.11468021,"PDF pp.4–5, Section IV.B, Figures 4–6",Physical runs and reported incomplete-placement errors support E and W; failed runs remain part of the evidence. Personnel-triggered pause and resumption do not automatically establish D.
CU_R109,R109,xiao2026retaining_wall_crane,Development and Implementation of Machine Learning–Based Hierarchical Approach for Autonomous Retaining Wall Construction Using a Robotized Crane,L4,Y,N,N,https://ascelibrary.com/doi/full/10.1061/JCCEE5.CPENG-7293,"Publisher full-text HTML, Sections 5.3.1–5.3.2, Figure 13; accessed 2026-09-18",Physical block delivery and wall completion support E. Geometric mating requirements are not measured placement error. Repeated-lifting photographs and in-transit kinematics do not establish characterized post-placement state used in later work.
CU_R111,R111,wang_reinforcement_2025,Reinforcement learning-based continuous path planning and automated concrete {3D} printing of complex hollow components,L3,Y,Y,N,https://doi.org/10.1016/j.autcon.2025.106290,"PDF pp.14–15, Section 6.2.2, Figure 15 (page visually inspected); pp.18–20, Section 6.4","Physical printing supports E. Section 6.2.2 and Figure 15 compare interruptions, material accumulation and extrusion uniformity in physical prints, supporting qualitative W. This is not quantitative dimensional or strength validation. No qualifying subsequent-state use was identified."
CU_R124,R124,wu2025robot,Robot in the loop: a human-centered approach to contextualizing {AI} and robotics in construction,L5,Y,N,N,https://doi.org/10.1007/s41693-024-00144-8,"PDF p.13, Section 5.1, The prototype in context","During the site evaluation, workers summoned the robot, loaded and unloaded its tray, and sent it between the loading and installation areas. This supports a physical endpoint, not a site success rate. The sandbox runs in Sections 5.2–5.3 do not supply the highest-exposure outcome denominator."
CU_R126,R126,gao2026deep,Deep reinforcement learning coupled with topological scene graph for dynamic path planning of autonomous bulldozer in complex earthwork construction,L4,Y,N,N,https://doi.org/10.1016/j.autcon.2025.106617,"PDF pp.16–19, real-world application, Figures 20–21","Physical bulldozer transition between work areas supports E, not completed earthmoving. Path and steering metrics do not assess earthwork output. No qualifying subsequent-state use was identified."
CU_R160,R160,nan2024adaptive,Learning Adaptive Controller for Hydraulic Machinery Automation,L3,N,N,N,https://doi.org/10.1109/LRA.2024.3372831,Author-repository PDF pp.7–9; Section V.A; Figure 10; Section VI,"The HEAP experiment reports physical grading tracking errors, without a separate explicit task-completion statement. Waypoint success on another machine is not transferred to this configuration. Finished-terrain evaluation and subsequent-state use were not established."
