report_id,indicator,evidence_identified,source_location,evidence_summary,interpretation,evidence_form
R023,motion_metric,Y,PDF p.7; Fig.10,比较实体与模拟关节位置轨迹,比较实体与模拟关节位置轨迹 量化坐标曲线，不是唯一汇总误差,Reported outcome
R023,repeated_evaluation_denominator,Y,PDF p.7; Table IV,两种材料各5次实验,两种材料各5次实验 包含失败的两次砾石实验,Reported outcome
R023,time_throughput,N,PDF pp.6–7,两小时为训练时间,两小时为训练时间 不当作实体铲装时间,Outside criterion or not explicitly established
R025,failed_aborted_count,N,PDF pp.13–14,展示跟踪与约束表现,展示跟踪与约束表现 未确认失败或中止枚举,Outside criterion or not explicitly established
R025,human_effort_intervention,N,PDF pp.13–14,描述实体控制实验,描述实体控制实验 未确认人工投入结果,Outside criterion or not explicitly established
R025,motion_metric,Y,PDF pp.13–14; Figs.12–13,实体铲尖、动臂和斗杆跟踪及误差曲线,实体铲尖、动臂和斗杆跟踪及误差曲线 保持command intervention原分类，不改理论解释,Reported outcome
R025,repeated_evaluation_denominator,N,PDF pp.13–14,展示跟踪实验,展示跟踪实验 未确认重复试验数,Outside criterion or not explicitly established
R025,time_throughput,N,PDF pp.13–14,参考轨迹时间区间0至5秒,参考轨迹时间区间0至5秒 预设时域不是测得的作业效率,Outside criterion or not explicitly established
R026,failed_aborted_count,Y,PDF p.6; Table V and Comparative Failure Analysis,四条件各10次；本方法成功率90/80/50/60%；可分别推得1/2/5/4次未成功共12次,四条件各10次；本方法成功率90/80/50/60%；可分别推得1/2/5/4次未成功共12次 可唯一推导但不是单列失败次数；必须与R067的百分比加分母采用同一规则；候选U不表示没有结局证据,Derived uniquely from successful outcomes and denominator
R026,human_effort_intervention,N,PDF p.6; Table V,提供人类操作员成功率比较,提供人类操作员成功率比较 人类基线成功率不是人工投入量或实际接管结果,Outside criterion or not explicitly established
R026,motion_metric,Y,PDF pp.6–7; Figs.5–6,报告实体铲斗轨迹及硬土水平路径约长40%；Fig.6含速度命令与实测扭矩,"PDF p. 6, IV.C/Fig. 5 reports physical bucket trajectories and approximately 40% longer horizontal travel in hard soil. Inclusion does not depend on treating velocity commands as measurements.",Reported outcome
R026,repeated_evaluation_denominator,Y,PDF p.6; IV.B and Table V,40次硬件试验；四种条件各10次,40次硬件试验；四种条件各10次 此处对应实体评价，不采用仿真试验数量,Reported outcome
R026,time_throughput,N,PDF pp.6–7,本轮所读实体结果段未确认时间或吞吐量结果,本轮所读实体结果段未确认时间或吞吐量结果 未覆盖全文所有位置，不判N,Outside criterion or not explicitly established
R028,failed_aborted_count,Y,PDF p.10; Table V,逐条件列整数成功数，每项分母20；如Ours第一组19、19、20,逐条件列整数成功数，每项分母20；如Ours第一组19、19、20 完整整数结局可确定未成功次数；与R055采用同一候选规则，不另称中止次数,Derived uniquely from successful outcomes and denominator
R028,human_effort_intervention,N,PDF p.10; VI.G,实体比较未在该节给人工投入或实际接管量,实体比较未在该节给人工投入或实际接管量 本轮核查范围内未确认，不判N,Outside criterion or not explicitly established
R028,motion_metric,N,PDF p.10; VI.G and Table V,实体结果主要为岩块挖掘成功数,实体结果主要为岩块挖掘成功数 初始位置和岩块尺寸不是测得的运动误差,Outside criterion or not explicitly established
R028,repeated_evaluation_denominator,Y,PDF p.10; Table V caption,每个岩块与地面条件20次，来自5个策略和4个位置,每个岩块与地面条件20次，来自5个策略和4个位置 20次并非单个策略重复20次；已视觉核对,Reported outcome
R028,time_throughput,N,PDF p.10; VI.F–G,时间效率比较针对模拟训练计算；实体表给成功数,时间效率比较针对模拟训练计算；实体表给成功数 训练加速不等于实体挖掘耗时降低,Outside criterion or not explicitly established
R030,failed_aborted_count,Y,PDF p.1 abstract and p.13 Fig.13 safety evaluation,摘要明确训练后128次连续挖掘成功；第13页另报告无安全越限或其他异常,摘要明确训练后128次连续挖掘成功；第13页另报告无安全越限或其他异常 该运行序列全成功可推得零未成功；不能仅从无安全越限推出零任务失败；候选U不表示没有结局证据,Derived uniquely from successful outcomes and denominator
R030,human_effort_intervention,Y,PDF p.13; Fig.13 and accompanying text,追加运行的human ratio明确为零,追加运行的human ratio明确为零 零干预是已评价的人工投入结果，不是已触发接管或恢复响应,Reported outcome
R030,motion_metric,Y,PDF p.13; Fig.13,训练后128回合记录桶、斗杆和动臂RMSE以及机身俯仰角范围,训练后128回合记录桶、斗杆和动臂RMSE以及机身俯仰角范围 图13为训练后的追加运行，不用训练曲线代替,Reported outcome
R030,repeated_evaluation_denominator,Y,PDF pp.13–14; Fig.13 and evaluation task results,128个训练后追加安全评价回合；另明确每个目标BFR进行10次评价试验,128个训练后追加安全评价回合；另明确每个目标BFR进行10次评价试验 两类评价分开；10次为每个目标BFR而非全部试验；28618控制步不是试验分母,Reported outcome
R030,time_throughput,N,PDF pp.13–14; Figs.13–14,训练后128回合持续安全运行38分钟共28618步；另有0至19秒的评价任务快照,The 38-minute/128-episode series characterizes extended safe operation. Snapshot timestamps and series duration are not counted as an explicit task-time or throughput outcome.,Outside criterion or not explicitly established
R037,failed_aborted_count,Y,PDF p.11; 6.3,明确25次均成功装料并抬起,明确25次均成功装料并抬起 可确定该最终评价零失败；早期双侧导纳不稳定另述,Derived uniquely from successful outcomes and denominator
R037,human_effort_intervention,N,PDF p.11; 6.3,操作员实际控制前进并在动臂抬起时停止,操作员实际控制前进并在动臂抬起时停止 已实施人工参与，但是否满足表中outcome而非流程描述需统一,Outside criterion or not explicitly established
R037,motion_metric,Y,PDF pp.11–12; Fig.13,本轮视觉确认Fig.13包含实测关节位置、前进距离、估计扭矩，以及另列的参考位置,"PDF pp. 11–12, Section 6.3/Fig. 13 identifies IMU-measured joint angles and GNSS-measured forward distance; the caption identifies each curve as one physical experiment.",Reported outcome
R037,repeated_evaluation_denominator,Y,PDF p.11; 6.3,湿砂10次、石料15次，共25次,湿砂10次、石料15次，共25次 模拟五episode另计,Reported outcome
R037,time_throughput,N,PDF pp.11–12,主要给装料率与实体状态,主要给装料率与实体状态 未确认实体作业耗时结果,Outside criterion or not explicitly established
R038,failed_aborted_count,N,PDF p.18; Table 3,抓取成功率100%，但该表明确分母未定位,抓取成功率100%，但该表明确分母未定位 不将其他实验20次分母搬来推失败数,Outside criterion or not explicitly established
R038,human_effort_intervention,N,PDF pp.21–23,人工司机表现作为基线；人工准备料堆,人工司机表现作为基线；人工准备料堆 未直接测量自动流程所需人工投入,Outside criterion or not explicitly established
R038,motion_metric,Y,"PDF pp.19,21–23; Tables 4,6,7",实体约束偏差、位置误差、角速度和振荡,实体约束偏差、位置误差、角速度和振荡 不混入Table 2模拟MPC比较,Reported outcome
R038,repeated_evaluation_denominator,Y,PDF p.22; Table 6 caption,20次连续转移评价,20次连续转移评价 正文另有约20次表述，按具体表注记录,Reported outcome
R038,time_throughput,Y,PDF pp.22–23; Tables 6–7,报告完整循环时间及去除抓取时间,报告完整循环时间及去除抓取时间 两种时间分开，不把更集中料堆等同更快,Reported outcome
R044,failed_aborted_count,N,PDF pp.6–7,讨论超调和误差,讨论超调和误差 未确认失败或中止次数,Outside criterion or not explicitly established
R044,human_effort_intervention,N,PDF pp.6–7,人类司机性能比较,人类司机性能比较 未确认人工投入或接管结果,Outside criterion or not explicitly established
R044,motion_metric,Y,PDF pp.6–7; Tables IV–VI,实体速度、超调、终态误差和工具角速度,实体速度、超调、终态误差和工具角速度 人类司机比较不单独证明学习收益,Reported outcome
R044,repeated_evaluation_denominator,N,PDF pp.6–7,表注称多次运行平均；图示四或五目标,表注称多次运行平均；图示四或五目标 目标数不自动等于重复运行数,Outside criterion or not explicitly established
R044,time_throughput,N,PDF p.6,15秒目标切换周期,15秒目标切换周期 预设周期不是实测作业完成时间,Outside criterion or not explicitly established
R055,failed_aborted_count,Y,PDF p.4; Fig.4; pp.5–6 failure explanations,逐条件成功数与总数明确列出；Δ形实体试验0/21，正文说明扭矩越限失败,逐条件成功数与总数明确列出；Δ形实体试验0/21，正文说明扭矩越限失败 候选依据为完整整数结局分布，不是从四舍五入百分比反推；若规则要求单列failure count须统一裁决,Derived uniquely from successful outcomes and denominator
R055,human_effort_intervention,N,PDF pp.4–6,训练用一次成功人工示范；实体采用传感器和腕部扭矩越限中止规则,训练用一次成功人工示范；实体采用传感器和腕部扭矩越限中止规则 示范属于训练；自动中止不等于人工投入或人工接管,Outside criterion or not explicitly established
R055,motion_metric,N,PDF pp.5–6; Fig.7 and section 5.4,图7对比线性与角度动作的均值及范围,图7对比线性与角度动作的均值及范围 动作输出不自动等于实测机器人运动指标，需核实观测曲线和统一定义,Outside criterion or not explicitly established
R055,repeated_evaluation_denominator,Y,PDF p.4; Fig.4 real rollout success rate column,实体逐条件成功数/试验数明确列出，包括7/7、2/3、0/21等,实体逐条件成功数/试验数明确列出，包括7/7、2/3、0/21等 已视觉核对实体列，不混入仿真列,Reported outcome
R055,time_throughput,N,PDF pp.4–6; experiment results,所读实体结果未定位任务耗时或吞吐统计,所读实体结果未定位任务耗时或吞吐统计 训练步数和动作曲线步索引不能直接替代物理时间,Outside criterion or not explicitly established
R060,failed_aborted_count,N,PDF p.7,描述硬件与模拟差别,描述硬件与模拟差别 未确认实体失败次数,Outside criterion or not explicitly established
R060,human_effort_intervention,N,PDF p.7,描述竹材操作演示,描述竹材操作演示 未确认人工投入结果,Outside criterion or not explicitly established
R060,motion_metric,N,PDF p.7; hardware evaluation,实体搬运和到达为概念验证,实体搬运和到达为概念验证 模拟成功率不能当实体运动指标,Outside criterion or not explicitly established
R060,repeated_evaluation_denominator,N,PDF p.7,硬件概念验证未列重复次数,硬件概念验证未列重复次数 九米移动是IK任务，不移入学习配置,Outside criterion or not explicitly established
R060,time_throughput,N,PDF p.7,将建造耗时列为未来评价,将建造耗时列为未来评价 训练速度不是实体工作时间,Outside criterion or not explicitly established
R063,failed_aborted_count,N,PDF pp.6–7,给路径与工作负担结果,给路径与工作负担结果 未确认失败或中止次数,Outside criterion or not explicitly established
R063,human_effort_intervention,Y,PDF p.7; Fig.11,五名参与者NASA-TLX工作负荷与effort评分,五名参与者NASA-TLX工作负荷与effort评分 主观负担测量，不称人工接管次数,Reported outcome
R063,motion_metric,Y,PDF p.7; Fig.10,记录实体末端三维轨迹，有实际坐标轴,记录实体末端三维轨迹，有实际坐标轴 属于量化轨迹展示，非误差汇总量,Reported outcome
R063,repeated_evaluation_denominator,Y,PDF pp.6–7; V,五名参与者分别有无虚拟引导条件,五名参与者分别有无虚拟引导条件 参与者内比较，不冒称更多重复,Reported outcome
R063,time_throughput,N,PDF pp.6–7,十分钟为参与者练习时间,十分钟为参与者练习时间 不能作为正式任务完成时间,Outside criterion or not explicitly established
R065,failed_aborted_count,N,PDF p.7; Table IV,实体SAP-RL-E平均成功率93.9%，列分照明成功率,Aggregated rounded success percentages and an incompletely matched denominator do not uniquely determine an unsuccessful count.,Outside criterion or not explicitly established
R065,human_effort_intervention,N,PDF pp.5–7,描述实体测试安排及自动搜索过程,描述实体测试安排及自动搜索过程 本轮所读结果未确认人工投入量或实际人工干预记录，不判N,Outside criterion or not explicitly established
R065,motion_metric,N,PDF pp.6–7; Tables III–IV,报告成功率和完成时间；初始位置偏移用于设置测试条件,报告成功率和完成时间；初始位置偏移用于设置测试条件 初始偏移不是运动误差结果；图像重建不是运动指标,Outside criterion or not explicitly established
R065,repeated_evaluation_denominator,Y,PDF p.6; III.C,测试设计给出12个未见孔、初始位置和照明条件，并说明重复10次,测试设计给出12个未见孔、初始位置和照明条件，并说明重复10次 各模型照明覆盖不完全相同；不将统一总试次数强加给所有模型,Reported outcome
R065,time_throughput,Y,PDF p.7; Table IV and IV.C,真实机器人SAP-RL-E平均完成时间8.21秒，误差项0.22秒,真实机器人SAP-RL-E平均完成时间8.21秒，误差项0.22秒 不能用离线Table III的7.65秒替代；已视觉核对,Reported outcome
R066,failed_aborted_count,N,PDF p.13; 4.2.2,描述成功且避碰,描述成功且避碰 没有完整实体试验分母，不能推零失败,Outside criterion or not explicitly established
R066,human_effort_intervention,N,PDF pp.13–14,示范收集用于训练,示范收集用于训练 训练示范不是最终人工投入结果,Outside criterion or not explicitly established
R066,motion_metric,N,PDF p.13; 4.2.2 and Fig.10,实体玻璃放置演示，以3厘米作为完成阈值,实体玻璃放置演示，以3厘米作为完成阈值 阈值不是测量误差分布,Outside criterion or not explicitly established
R066,repeated_evaluation_denominator,N,PDF p.13; 4.2.2,展示真实机器人执行,展示真实机器人执行 未确认重复次数,Outside criterion or not explicitly established
R066,time_throughput,N,PDF pp.13–14,实体演示未在该段给耗时,实体演示未在该段给耗时 模拟AEL不替代实体时间,Outside criterion or not explicitly established
R067,failed_aborted_count,Y,PDF pp.14–15; Table 3,每条件四次；FSTR-Net在16毫米粗控制50%，精控制100%,每条件四次；FSTR-Net在16毫米粗控制50%，精控制100% 整数可唯一还原为2/4与4/4；推导次数与原文百分比分开,Derived uniquely from successful outcomes and denominator
R067,human_effort_intervention,N,PDF pp.14–15,两种夹持控制条件,两种夹持控制条件 rough control不等于人工接管,Outside criterion or not explicitly established
R067,motion_metric,Y,PDF pp.14–15; Fig.16,本轮视觉确认Fig.16有米制XYZ坐标和实体末端路径，但不是误差或速度汇总指标,"PDF p. 14, Fig. 16 plots the robot trajectory corresponding to the physical sequence in Fig. 15(d–m), with metric spatial coordinates. A scalar tracking-error summary is not required for this reporting indicator.",Reported outcome
R067,repeated_evaluation_denominator,Y,PDF p.14,每系统、管径、控制模式四次实体实验,每系统、管径、控制模式四次实体实验 不将四次理解为全部实验总数,Reported outcome
R067,time_throughput,N,PDF pp.14–15,比较感知适配方法与安装成功率,比较感知适配方法与安装成功率 未确认实体工作耗时,Outside criterion or not explicitly established
R072,failed_aborted_count,N,PDF pp.11–12; Fig.14 and 4.3.2,给49构件装配错误定义及平均准确率99.6%,给49构件装配错误定义及平均准确率99.6% 构件错误比例不直接等于失败或中止的任务次数,Outside criterion or not explicitly established
R072,human_effort_intervention,Y,PDF pp.11–12; 4.3.1–2,统计任务理解困难导致的求助次数；MMCR平均每次0.8次,统计任务理解困难导致的求助次数；MMCR平均每次0.8次 求助频次属于人工交互负担，不等于安全接管或恢复事件,Reported outcome
R072,motion_metric,N,PDF pp.10–12; 4.2–4.3,实体结果给装配准确率、时间和求助次数,实体结果给装配准确率、时间和求助次数 装配准确率不直接当作机器人运动指标；训练奖励不替代实体结果,Outside criterion or not explicitly established
R072,repeated_evaluation_denominator,Y,PDF pp.10–11; 4.3.1,四组各10名参与者；记录相同装配任务结果,四组各10名参与者；记录相同装配任务结果 49个构件是装配准确率分母，不混作49次独立整任务试验,Reported outcome
R072,time_throughput,Y,PDF pp.11–12; 4.3.2 and Fig.14,MMCR平均装配时间5分钟,MMCR平均装配时间5分钟 完整MR与学习控制系统结果，不能单独归因于DRL,Reported outcome
R090,failed_aborted_count,N,PDF p.14; Fig.17,报告构件自转失败案例,报告构件自转失败案例 案例证明失败发生，不能确定总失败次数,Outside criterion or not explicitly established
R090,human_effort_intervention,N,PDF pp.13–14,有人值守、急停可用，建议工人纠正朝向,有人值守、急停可用，建议工人纠正朝向 未报告急停触发；建议人工协助不等于已实施,Outside criterion or not explicitly established
R090,motion_metric,N,PDF pp.13–14,BIM定位更新与成功放置,BIM定位更新与成功放置 模型几何精度不是机器人运动误差,Outside criterion or not explicitly established
R090,repeated_evaluation_denominator,N,PDF pp.13–14,多天气演示,多天气演示 未确认重复实体试验总数,Outside criterion or not explicitly established
R090,time_throughput,N,PDF p.14,BIM每0.5秒更新,BIM每0.5秒更新 刷新频率不是作业时间,Outside criterion or not explicitly established
R091,failed_aborted_count,N,PDF p.11; 3.4,比较PID较高失败率与改进后的表现,比较PID较高失败率与改进后的表现 没有在该结果段找到失败或中止整数次数,Outside criterion or not explicitly established
R091,human_effort_intervention,N,PDF p.11; 3.4,通信等待时停止运行的机制被描述,通信等待时停止运行的机制被描述 自动等待不等于人工接管；未确认实际人工投入量,Outside criterion or not explicitly established
R091,motion_metric,Y,PDF pp.9–11; 3.3; Figs.13–14 and Table 3,实体关节跟踪比较使用RMSE,实体关节跟踪比较使用RMSE 属于执行控制器比较，不证明RL单独改善跟踪；本轮不抄录表与结论可能错位的具体RMSE值,Reported outcome
R091,repeated_evaluation_denominator,N,PDF pp.10–12; 3.4 and Fig.15,展示多个混凝土块的挡墙施工,展示多个混凝土块的挡墙施工 未找到明确重复试验数；不能把照片构件数直接当试验分母,Outside criterion or not explicitly established
R091,time_throughput,N,PDF pp.10–12; 3.4,现场挡墙施工给放置误差及结果,现场挡墙施工给放置误差及结果 曲线时间轴不是明确报告的作业耗时指标,Outside criterion or not explicitly established
R108,failed_aborted_count,Y,PDF p.4; IV.B,原文报告35次实验中约6次失败,PDF p. 4 reports approximately six failures in 35 experiments. Preserve approximately; this is not an exact reconstructed count.,"Reported count, with original precision retained"
R108,human_effort_intervention,N,PDF pp.4–5; IV.B and Fig.5,人工辅助定位只描述为可行办法；实体停机与人员进入区域对应,人工辅助定位只描述为可行办法；实体停机与人员进入区域对应 人员触发安全停机不自动等于人工接管；未观察到的人工辅助不得计为已执行,Outside criterion or not explicitly established
R108,motion_metric,N,PDF p.4; IV.B,未放置到目标位置的构件误差约1–3cm,未放置到目标位置的构件误差约1–3cm 构件放置误差是否属于work output而非robot motion须一致区分,Outside criterion or not explicitly established
R108,repeated_evaluation_denominator,Y,PDF p.4; IV.B,35次实体实验,35次实体实验 保留实验单位，不当作35个独立系统,Reported outcome
R108,time_throughput,Y,PDF p.4; IV.B,每次运输任务约4分钟,每次运输任务约4分钟 物理任务时间，不是模型推理时间,Reported outcome
R109,failed_aborted_count,N,PDF pp.7–11; Experiment Results and Fig.13,未明确报告实体失败或中止次数,未明确报告实体失败或中止次数 成功展示不能推出零失败,Outside criterion or not explicitly established
R109,human_effort_intervention,N,PDF pp.7–11; Experiment Results and Fig.13,未明确报告人工用时或实际接管结果,未明确报告人工用时或实际接管结果 自动施工描述不等于零人工投入,Outside criterion or not explicitly established
R109,motion_metric,N,PDF pp.7–11; Experiment Results and Fig.13,未明确报告实体运动或控制性能量,未明确报告实体运动或控制性能量 FK定位和低速运行描述不等于测量结果,Outside criterion or not explicitly established
R109,repeated_evaluation_denominator,N,PDF pp.7–11; Experiment Results and Fig.13,实体展示重复吊装但未给试验总数,实体展示重复吊装但未给试验总数 每类障碍1000次属于模型评价，不以墙体块数推实体分母,Outside criterion or not explicitly established
R109,time_throughput,N,PDF pp.7–11; Experiment Results and Fig.13,未明确报告实体完成时间或吞吐量,未明确报告实体完成时间或吞吐量 模型评价动作步数不当作现场实测时间,Outside criterion or not explicitly established
R111,failed_aborted_count,N,PDF pp.14–18,讨论重叠、断点和材料堆积,讨论重叠、断点和材料堆积 打印缺陷与失败次数不同,Outside criterion or not explicitly established
R111,human_effort_intervention,N,"PDF pp.12,14–18",导入G-code后打印,导入G-code后打印 未确认人工投入结果,Outside criterion or not explicitly established
R111,motion_metric,N,"PDF pp.12,14–18; Table 4",路径长度、断点等由算法计算；另有打印演示,路径长度、断点等由算法计算；另有打印演示 规划路径量不自动成为实体测得运动指标,Outside criterion or not explicitly established
R111,repeated_evaluation_denominator,N,PDF pp.14–18,不同方法和多层打印案例,不同方法和多层打印案例 十层是一个构件的层数，不等于十次独立实验,Outside criterion or not explicitly established
R111,time_throughput,N,"PDF pp.12,14–18",20毫米每秒为设置打印速度,20毫米每秒为设置打印速度 设置速度不等于实测时间或吞吐,Outside criterion or not explicitly established
